id_mineral,nombre,simbolo_quimico,numero_atomico,masa_atomica
85,Min-IAM,J,83,215.535
86,Min-AMR,R,87,214.08
87,Min-VTD,Bzy,49,117.004
88,Min-JLM,Wvq,104,199.112
89,Min-DVG,Lc,29,60.008
90,Min-SVA,At,69,139.495
91,Min-OFB,Yw,102,245.037
92,Min-DHZ,Fk,44,89.991
93,Min-YFA,Ij,7,14.209
94,Min-MDP,Rka,87,220.688
95,Min-YIP,M,51,109.183
96,Min-GMU,Sg,103,234.664
97,Min-DMQ,Hm,76,136.876
98,Min-XIJ,Rv,43,82.254
99,Min-BSF,N,78,193.19
100,Min-VXU,Io,26,64.037
101,Min-FNS,Rxi,38,82.569
102,Min-KXD,X,88,187.331
103,Min-CSD,Nf,112,236.11
104,Min-MHZ,Y,78,136.231
105,Min-AOH,Ep,91,229.954
106,Min-MCW,Bce,52,91.452
107,Min-ZSL,De,29,51.308
108,Min-KCQ,Tmz,31,53.886
109,Min-HDN,A,91,226.815
110,Min-VKP,R,22,54.773
111,Min-DEC,T,97,198.622
112,Min-QGA,Ui,18,31.707
113,Min-UVR,Qq,46,97.45
114,Min-NOJ,Kj,23,57.16
115,Min-APY,Img,27,48.05
116,Min-IEH,Qez,101,223.429
117,Min-EQS,Pvx,62,130.023
118,Min-KZE,Ocp,76,149.964
119,Min-EGT,Sfz,59,148.82
120,Min-CZF,Bp,33,82.53
121,Min-QVI,N,30,73.878
122,Min-TLT,Psv,13,23.158
123,Min-CLF,Qb,56,107.324
124,Min-PVP,M,93,176.957
125,Min-XNG,E,76,164.429
126,Min-HWI,L,20,40.53
127,Min-LXP,Cb,117,300.08
128,Min-SZJ,Su,118,232.94
129,Min-COK,Dq,51,121.117
130,Min-FDN,Fq,5,12.471
131,Min-ONM,Na,101,244.947
132,Min-YAY,Jrg,49,106.445
133,Min-DKW,Rx,99,226.45
134,Min-DKH,Aft,106,182.63
135,Min-UQQ,R,39,96.08
136,Min-BHM,A,106,213.616
137,Min-FLO,F,37,92.658
138,Min-VAL,Ogy,42,109.088
139,Min-KUK,M,67,134.256
140,Min-PSC,Rxt,112,211.074
141,Min-WFA,Ya,91,166.666
142,Min-LQP,S,17,28.944
143,Min-HTQ,Rok,10,19.597
144,Min-IYJ,O,37,94.089
145,Min-QTO,K,108,262.912
146,Min-QLE,Cqz,71,122.686
147,Min-TAG,Mj,9,15.352
148,Min-XRU,Kpf,14,24.111
149,Min-MKV,Wzl,1,2.32
150,Min-TUR,K,68,166.732
151,Min-PJN,S,101,243.297
152,Min-VLO,Z,63,145.617
153,Min-IBG,U,61,110.88
154,Min-PIJ,Es,16,41.531
155,Min-WXL,Bdv,118,232.322
156,Min-TUO,Mg,93,236.374
157,Min-LRI,Fd,40,69.979
158,Min-PWK,Mh,79,173.313
159,Min-SMQ,Kv,68,136.409
160,Min-ZRC,Jjb,22,47.056
161,Min-PSR,Vt,103,178.119
162,Min-IXW,I,51,86.788
163,Min-MKT,Gxc,116,254.547
164,Min-ILN,Yyq,24,58.784
165,Min-KZN,Tf,70,160.523
166,Min-BNY,Drm,104,194.651
167,Min-IYW,B,94,189.789
168,Min-QCF,F,43,111.31
169,Min-IHF,D,16,37.787
170,Min-URN,Vh,6,13.884
171,Min-KST,Dl,66,117.412
172,Min-QHF,P,13,27.673
173,Min-NFU,X,18,34.862
174,Min-DIT,Lm,1,2.335
175,Min-ICD,Tnd,117,242.038
176,Min-HLJ,V,9,21.65
177,Min-UFA,Bt,75,135.766
178,Min-ONH,Qby,108,274.124
179,Min-CST,Cdw,109,247.291
180,Min-ADL,Oe,84,205.576
181,Min-GHN,W,33,62.004
182,Min-TBI,B,28,67.49
183,Min-IUJ,X,28,63.51
184,Min-AYN,Ve,81,155.03
185,Min-OOO,Mqf,108,200.02
186,Min-EQQ,Vo,72,141.986
187,Min-ICL,Cck,12,26.305
188,Min-LNU,Q,20,49.494
189,Min-WVR,B,93,166.809
190,Min-GNE,Vj,32,69.761
191,Min-HJY,Foa,116,292.393
192,Min-RKH,G,52,104.201
193,Min-OYX,Jbw,118,267.78
194,Min-SQM,Hxi,102,220.084
195,Min-ZHG,Fv,7,14.88
196,Min-ZHX,Sua,19,34.936
197,Min-FYI,Z,19,37.229
198,Min-QCQ,Kr,24,56.14
199,Min-VQS,Bha,3,6.362
200,Min-IAU,Mz,77,133.564
201,Min-UEM,Nks,60,106.765
202,Min-RZU,Qoi,54,95.783
203,Min-NWO,O,15,29.695
204,Min-CCS,Cwq,30,65.675
205,Min-WXR,Rh,71,137.343
206,Min-EBH,R,107,187.949
207,Min-KMB,O,103,207.809
208,Min-NCR,Ysv,114,266.914
209,Min-RBK,Sd,82,170.277
210,Min-OHT,Ug,104,202.51
211,Min-CJD,D,41,84.127
212,Min-NJF,Mx,82,172.926
213,Min-AUQ,I,117,243.374
214,Min-NVQ,Gnu,98,193.541
215,Min-YFP,Sz,1,1.908
216,Min-UBD,E,45,85.305
217,Min-KEC,Wt,11,19.231
218,Min-SOP,Y,43,75.469
219,Min-BCD,N,58,105.228
220,Min-HTB,Ta,109,240.367
221,Min-KFB,Do,22,37.67
222,Min-JGQ,T,60,129.799
223,Min-VER,Qx,107,186.105
224,Min-GUD,Ao,94,195.478
225,Min-XTR,Mja,83,198.663
226,Min-GOQ,Jra,93,231.359
227,Min-YXI,Qbm,87,172.644
228,Min-OFZ,Nub,9,22.208
229,Min-BAH,G,49,123.988
230,Min-WNB,Poq,99,200.593
231,Min-MUI,Em,69,137.374
232,Min-CEE,F,28,68.595
233,Min-CZP,X,57,138.325
234,Min-GRG,Blh,76,141.129
235,Min-OEO,T,25,52.944
236,Min-GKX,K,43,85.853
237,Min-BJH,Bdu,45,109.258
238,Min-PCI,Rcs,21,38.749
239,Min-VWM,Ls,45,108.258
240,Min-ZEJ,Sp,36,74.109
241,Min-LUY,J,74,166.131
242,Min-LNE,I,70,157.383
243,Min-ZDC,C,60,141.507
244,Min-NRB,Odm,40,97.248
245,Min-OBX,Ac,96,185.409
246,Min-YCO,I,23,57.122
247,Min-PYX,I,41,77.455
248,Min-SCZ,Ti,41,98.501
249,Min-KRD,T,112,272.393
250,Min-YFC,Iiy,69,159.744
251,Min-IAC,Vxv,105,268.423
252,Min-VMU,Lgo,82,147.048
253,Min-DPV,M,47,96.996
254,Min-CCM,X,93,168.28
255,Min-XVX,Z,48,117.809
256,Min-OHI,B,98,243.194
257,Min-GBU,Wp,84,216.225
258,Min-ITO,T,32,70.537
259,Min-WIA,Bq,12,30.419
260,Min-KXG,Qsm,8,14.2
261,Min-GRC,Gd,65,149.757
262,Min-LTR,Rf,10,19.786
263,Min-TBT,Nie,27,59.477
264,Min-RIE,Ccv,21,54.502
265,Min-YHV,Nnl,102,254.517
266,Min-FIU,Sc,7,12.634
267,Min-ZXG,T,61,148.787
268,Min-JUA,E,62,159.876
269,Min-UHO,V,56,103.126
270,Min-UOS,Jk,15,35.403
271,Min-XJT,Qnv,111,250.876
272,Min-YLC,Ei,15,27.25
273,Min-DZP,Pn,105,207.373
274,Min-CVS,Kao,81,195.917
275,Min-ZBX,Vwx,103,228.65
276,Min-WUW,Ugn,108,194.407
277,Min-ISY,S,105,225.415
278,Min-GRQ,Y,62,142.184
279,Min-KIQ,A,41,85.236
280,Min-KKZ,Pkd,78,148.045
281,Min-ZRK,U,44,100.596
282,Min-CQW,Roc,59,130.655
283,Min-XVY,F,74,177.141
284,Min-XTB,Oxx,30,77.959
285,Min-SYZ,Ls,94,237.475
286,Min-ZQF,J,12,26.04
287,Min-SXI,Vjg,5,9.037
288,Min-JKT,Gz,29,63.426
289,Min-MJH,Ues,57,109.532
290,Min-VRR,Aqu,105,180.545
291,Min-CWR,Kbi,116,225.738
292,Min-ONI,N,21,36.792
293,Min-YNF,X,85,182.031
294,Min-OMY,H,14,32.539
295,Min-SOW,U,70,163.161
296,Min-BNZ,N,103,216.011
297,Min-DQR,Lii,4,7.334
298,Min-VNB,Pb,112,241.957
299,Min-LKP,Q,41,96.566
300,Min-PPU,Zad,69,157.832
301,Min-HML,Vjj,34,67.155
302,Min-ASL,Fx,72,131.388
303,Min-BQG,U,21,48.779
304,Min-RCE,Xnm,26,48.614
305,Min-PVY,U,114,263.059
306,Min-OMI,Qi,78,164.747
307,Min-QQA,Vwe,76,186.743
308,Min-FGY,Ovl,74,148.819
309,Min-HCT,T,13,29.289
310,Min-DVR,F,61,117.654
311,Min-TEY,Mzf,52,98.85
312,Min-UCO,P,69,136.005
313,Min-TVI,E,66,124.554
314,Min-AOZ,Cj,37,88.006
315,Min-ONA,Lf,20,48.187
316,Min-YRK,X,21,51.33
317,Min-XRM,U,96,221.431
318,Min-EIF,Q,16,32.512
319,Min-ISO,Z,37,84.544
320,Min-WUU,Bd,29,68.772
321,Min-YAP,K,35,81.041
322,Min-GCC,Ba,18,39.245
323,Min-RWP,Re,113,196.229
324,Min-ICQ,Bs,83,191.11
325,Min-BIM,Ad,52,134.907
326,Min-NYP,Fv,86,154.091
327,Min-ZCO,Jxv,112,203.895
328,Min-DAM,S,111,189.973
329,Min-FZX,K,15,33.983
330,Min-MVG,Kbf,34,63.348
331,Min-GAO,Mn,106,266.445
332,Min-UQP,Fjb,49,97.403
333,Min-GPF,Ff,67,137.924
334,Min-BVS,G,1,2.308
335,Min-CUJ,Bgz,6,12.86
336,Min-YVI,Ba,91,230.681
337,Min-OQL,R,94,200.374
338,Min-XNY,At,55,138.889
339,Min-CTZ,O,30,76.25
340,Min-ZYX,P,67,153.089
341,Min-NKW,C,92,233.006
342,Min-TQH,Ivd,69,126.107
343,Min-RBU,Bk,4,7.751
344,Min-UFK,T,52,114.417
345,Min-QOA,Mpn,11,23.48
346,Min-OCM,Hav,27,56.386
347,Min-SKB,H,60,122.106
348,Min-IFJ,C,2,3.6
349,Min-BSK,J,64,145.004
350,Min-CLV,Jq,96,225.885
351,Min-HKY,Alb,19,38.793
352,Min-IEC,Cup,38,78.879
353,Min-RKD,Ipd,75,135.267
354,Min-MRZ,K,46,81.204
355,Min-HYV,U,91,159.172
356,Min-AXW,Zc,68,176.794
357,Min-WVF,Ye,33,83.919
358,Min-XPU,Kb,90,226.696
359,Min-EDK,W,22,41.889
360,Min-CQS,Uvw,73,158.562
361,Min-CRH,G,91,170.913
362,Min-SIF,Zjh,35,79.002
363,Min-DHN,S,58,120.147
364,Min-BEI,Kz,65,120.465
365,Min-DEB,Mnu,70,128.653
366,Min-GCK,Lxr,50,88.349
367,Min-WQU,Ho,49,124.534
368,Min-CVJ,W,94,181.377
369,Min-GHE,J,103,225.922
370,Min-XZC,Ykw,100,180.572
371,Min-TCL,Vxq,30,59.91
372,Min-NKT,T,37,96.086
373,Min-HBR,Fmc,56,111.221
374,Min-NDZ,Jf,88,212.891
375,Min-GPK,W,33,73.02
376,Min-YDE,Xuw,26,50.813
377,Min-XSA,Tba,57,121.996
378,Min-DPD,Ds,114,234.566
379,Min-IGC,Mjb,29,61.993
380,Min-YIF,Jl,99,240.995
381,Min-TDD,Gvd,8,13.747
382,Min-CWB,Qri,77,188.838
383,Min-SYX,Kq,55,116.36
384,Min-SWZ,Gdq,12,30.299
385,Min-GSN,Xt,118,263.548
386,Min-XYJ,F,69,120.743
387,Min-YMY,V,21,51.169
388,Min-PII,Oqd,31,57.844
389,Min-NKC,Fl,93,197.267
390,Min-DNH,Em,38,66.063
391,Min-IWM,H,94,240.183
392,Min-EHC,Dvc,108,233.279
393,Min-BLL,Xvi,43,91.748
394,Min-UWQ,Bl,91,219.95
395,Min-ROQ,Zmg,40,68.164
396,Min-FPK,Ey,9,22.178
397,Min-XAB,Vo,92,217.856
398,Min-ZDS,Kcf,3,5.667
399,Min-EHW,Gv,48,99.967
400,Min-XKY,Kpb,112,266.024
401,Min-LVQ,Srv,104,257.359
402,Min-VZB,Dc,47,99.842
403,Min-CKJ,Fr,27,49.468
404,Min-ATF,Cj,1,2.364
405,Min-JFR,P,102,175.354
406,Min-QPZ,Gly,10,17.295
407,Min-EUF,Z,29,70.427
408,Min-HET,W,43,108.675
409,Min-DZG,Uf,103,213.464
410,Min-UAV,Tyk,105,202.055
411,Min-PHJ,D,99,240.785
412,Min-TLI,Dzx,59,151.51
413,Min-HQO,U,105,271.767
414,Min-OGS,Mj,81,160.669
415,Min-CJU,Ei,7,15.012
416,Min-WJC,Hja,47,116.899
417,Min-RWX,Z,112,268.173
418,Min-KBV,Zyn,92,217.451
419,Min-VEY,Xuq,5,10.565
420,Min-RFS,V,75,148.781
421,Min-ZVP,Uz,23,42.006
422,Min-IIE,Oow,91,185.993
423,Min-IMD,T,37,72.182
424,Min-RVV,Rc,21,51.903
425,Min-SEI,Dw,112,224.372
426,Min-EPL,K,23,52.009
427,Min-FYN,Ytk,23,51.242
428,Min-WRB,Xcl,5,12.432
429,Min-AEE,Bm,117,276.173
430,Min-CXM,Yl,113,227.881
431,Min-QGU,U,82,204.134
432,Min-ZOY,F,25,59.806
433,Min-MOW,Ox,93,163.937
434,Min-TFO,H,64,131.5
435,Min-AAS,Ocq,50,126.422
436,Min-JEY,Gye,45,92.218
437,Min-KVG,Ym,93,214.714
438,Min-OCT,F,76,148.622
439,Min-OXS,W,83,155.542
440,Min-MFG,Avc,17,37.51
441,Min-AKD,Wr,23,58.086
442,Min-APU,F,100,180.514
443,Min-HXQ,U,85,218.892
444,Min-SBO,Tci,65,132.34
445,Min-ISP,Hrd,63,153.857
446,Min-KVR,A,94,235.303
447,Min-YRD,Oe,72,144.905
448,Min-QPR,Do,37,74.354
449,Min-TWU,Edj,50,88.447
450,Min-KEI,Q,80,156.317
451,Min-CRC,B,111,222.783
452,Min-QUI,V,78,137.238
453,Min-PKN,Sr,84,217.02
454,Min-ERA,Js,112,208.111
455,Min-CIQ,Gc,92,211.599
456,Min-JSN,D,108,202.539
457,Min-STS,Vd,105,195.437
458,Min-NPG,Njg,7,13.102
459,Min-CMJ,Zrc,7,17.692
460,Min-PAO,Vrh,63,108.944
461,Min-RYX,Ui,79,149.464
462,Min-JFI,Yyg,118,252.88
463,Min-OXO,Fbh,17,35.465
464,Min-CXT,W,2,3.82
465,Min-NUF,Nj,5,9.857
466,Min-EFU,Cs,81,177.318
467,Min-QGA,Aj,15,27.188
468,Min-OGU,G,74,157.859
469,Min-HOU,Z,112,264.034
470,Min-ZFQ,Jz,70,154.319
471,Min-AIS,E,26,46.026
472,Min-ZCE,Xs,17,39.837
473,Min-ZKX,Hsm,57,116.103
474,Min-FKB,Aa,112,199.707
475,Min-AKQ,D,1,2.464
476,Min-HMC,Qkn,54,126.117
477,Min-KFG,Fs,98,175.481
478,Min-EEP,Wjj,83,179.345
479,Min-DJJ,W,58,124.423
480,Min-DHQ,H,44,86.769
481,Min-ZKI,Gs,64,153.035
482,Min-LOS,Qw,43,98.448
483,Min-BJZ,Q,83,188.039
484,Min-RCO,Rl,40,72.897
485,Min-AFD,Qdq,17,31.544
486,Min-MPG,S,22,40.111
487,Min-XRY,Ko,118,279.581
488,Min-FMN,Qa,62,125.948
489,Min-UBC,Zrx,67,171.545
490,Min-PQI,Dbq,40,86.312
491,Min-COM,Cq,3,5.51
492,Min-VMA,Z,74,183.092
493,Min-BHX,Jw,115,243.13
494,Min-UKS,Jv,104,248.953
495,Min-IAT,T,76,134.746
496,Min-IES,Sx,10,22.05
497,Min-VQJ,Bq,96,232.446
498,Min-JLZ,Po,115,218.82
499,Min-KKJ,D,80,171.137
500,Min-KAW,M,68,163.841
501,Min-SCL,My,42,95.419
502,Min-IZL,Xnv,61,156.442
503,Min-AHA,Lc,104,255.203
504,Min-SPX,U,22,39.139
505,Min-JYB,M,50,119.414
506,Min-EXI,Z,60,118.461
507,Min-XFF,Q,12,27.833
508,Min-ZZB,Ojn,27,64.502
509,Min-TZB,Kfk,30,53.215
510,Min-UFK,Iay,117,222.069
511,Min-YLW,Xmm,73,173.015
512,Min-ETC,Js,25,56.428
513,Min-OPW,Zqu,49,85.598
514,Min-NYJ,Q,1,2.509
515,Min-SER,E,46,96.85
516,Min-ZTW,N,108,196.319
517,Min-KPW,H,113,283.957
518,Min-PDK,C,117,287.623
519,Min-NDK,Sjc,12,28.72
520,Min-PPE,Yru,56,114.966
521,Min-WCT,Q,44,98.019
522,Min-JYL,Vy,30,54.256
523,Min-BHO,Qem,85,187.316
524,Min-QQB,Wm,62,123.801
525,Min-NUQ,T,108,252.215
526,Min-BGV,Evx,82,202.443
527,Min-UAD,Fw,66,114.006
528,Min-OVS,Pj,45,91.282
529,Min-SCW,Ak,26,60.033
530,Min-JEV,Kqd,110,277.908
531,Min-PFR,Hpi,46,87.732
532,Min-HHV,C,88,195.772
533,Min-WQN,Yd,31,76.754
534,Min-ZZH,Qn,84,211.347
535,Min-YEP,Ayd,101,247.882
536,Min-COZ,D,67,157.028
537,Min-WMP,B,16,33.322
538,Min-IZO,Uet,109,186.44
539,Min-EQW,Jqu,61,135.86
540,Min-WCT,Ken,64,165.884
541,Min-JNK,M,93,191.018
542,Min-TAN,Jyx,43,94.192
543,Min-OZF,We,106,231.182
544,Min-EHS,B,30,68.9
545,Min-HUQ,J,17,35.814
546,Min-YMN,Ip,85,214.294
547,Min-TNL,Gkf,57,125.93
548,Min-RXL,C,43,74.3
549,Min-IAJ,W,28,63.145
550,Min-DDX,Tno,68,144.449
551,Min-UET,Gmf,99,224.165
552,Min-KYC,Lj,77,147.207
553,Min-BNW,P,42,77.857
554,Min-OIQ,Wsu,1,2.189
555,Min-AGN,Rtw,106,267.509
556,Min-MXU,J,92,223.2
557,Min-USV,Qr,44,95.55
558,Min-GYO,V,111,247.633
559,Min-DSA,Uph,10,17.125
560,Min-EHV,Pr,77,184.176
561,Min-MSA,U,15,36.435
562,Min-VTX,Oox,8,18.631
563,Min-DEB,Ro,91,221.079
564,Min-EAS,Uwn,3,6.571
565,Min-RTT,Lc,106,266.472
566,Min-AIA,Msh,64,123.007
567,Min-YIG,Zuh,90,158.669
568,Min-WNQ,Dm,72,179.203
569,Min-BVR,X,27,55.817
570,Min-OGV,Vh,19,32.684
571,Min-DHZ,Tr,88,186.224
572,Min-CZO,Nxv,26,59.267
573,Min-UDK,E,111,207.799
574,Min-JVU,C,10,20.815
575,Min-DUZ,Oga,59,142.516
576,Min-UOU,Dh,22,42.848
577,Min-RNV,S,91,177.823
578,Min-TWN,Ft,105,199.848
579,Min-LKN,Qy,63,120.739
580,Min-LGC,Cfq,19,48.371
581,Min-KED,L,5,9.1
582,Min-RLF,C,114,258.555
583,Min-XCR,W,59,132.02
584,Min-UJZ,Ic,85,187.414
585,Min-XPS,J,65,167.36
586,Min-BLK,Zf,25,57.267
587,Min-OME,Nq,30,60.639
588,Min-CXK,Did,44,100.869
589,Min-VUC,B,84,155.727
590,Min-KSE,Sq,117,294.535
591,Min-PKQ,Nif,43,99.526
592,Min-XUX,Ea,73,143.153
593,Min-PTV,Eb,29,69.7
594,Min-VAY,Ht,71,131.637
595,Min-QEI,Ff,55,97.751
596,Min-GFM,Hel,11,21.08
597,Min-DNS,Pul,114,274.001
598,Min-EZR,Ve,41,81.513
599,Min-DII,Ow,2,4.965
600,Min-RCA,Sl,23,42.275
601,Min-SLG,Nn,47,122.159
602,Min-JPH,Pe,78,168.647
603,Min-PST,Vxb,12,25.588
604,Min-UHR,I,12,25.5
605,Min-SJD,G,42,95.005
606,Min-SNE,D,59,122.773
607,Min-CDS,Fm,83,150.722
608,Min-JRD,Kw,74,137.309
609,Min-KLD,Llr,3,5.383
610,Min-CVK,Vy,110,268.442
611,Min-RAI,Gi,5,9.122
612,Min-FNP,Xcb,51,93.097
613,Min-RHZ,Rwh,88,172.09
614,Min-URX,O,106,209.046
615,Min-OTO,Bpd,46,91.455
616,Min-UPR,Ree,2,3.876
617,Min-HRV,Nuv,31,67.216
618,Min-OZA,I,109,277.043
619,Min-TUI,Vd,4,7.681
620,Min-LFX,Qd,14,31.705
621,Min-LKI,Rt,33,62.778
622,Min-BZO,Qm,37,71.535
623,Min-UXE,Qg,14,31.282
624,Min-ANC,P,71,142.192
625,Min-SCT,Po,40,98.663
626,Min-VOS,Zyd,18,31.605
627,Min-SIN,G,48,107.713
628,Min-YKF,Mfl,116,283.763
629,Min-TKN,Vf,81,209.405
630,Min-GLL,Y,54,99.949
631,Min-NUD,K,28,52.677
632,Min-KUJ,J,98,167.135
633,Min-YGD,Bd,118,214.943
634,Min-FMQ,P,33,74.326
635,Min-VKA,Le,91,171.797
636,Min-YCM,J,32,76.889
637,Min-FNH,T,66,152.166
638,Min-TKO,Z,113,285.593
639,Min-OYI,D,98,172.393
640,Min-WGY,Unf,20,51.107
641,Min-EDA,Nme,36,87.089
642,Min-TNM,Ce,89,190.355
643,Min-UML,P,26,47.051
644,Min-VJS,Zkv,25,54.569
645,Min-DIO,Nib,83,214.517
646,Min-NRQ,W,62,141.796
647,Min-TQF,V,93,186.529
648,Min-NPI,Vnf,44,83.852
649,Min-TDU,Wxl,61,120.622
650,Min-OMM,Cii,111,222.59
651,Min-WMD,N,53,131.033
652,Min-ZLI,Geo,91,182.331
653,Min-RNU,Q,117,233.834
654,Min-BQU,P,5,10.132
655,Min-RUU,Bm,63,138.643
656,Min-MWE,Xua,42,90.916
657,Min-DGC,Hsu,70,160.3
658,Min-PUA,Xn,41,90.93
659,Min-NMH,Pj,46,80.794
660,Min-INQ,H,105,214.736
661,Min-JRR,Rr,116,266.848
662,Min-VCU,Cn,89,218.831
663,Min-LGJ,Rak,45,107.91
664,Min-XYF,Tk,4,9.174
665,Min-BLS,K,86,206.484
666,Min-NFW,On,7,12.336
667,Min-SUO,Ao,92,198.352
668,Min-QFC,Dn,38,77.561
669,Min-DSB,Pxa,114,276.513
670,Min-JBH,Eqg,43,100.144
671,Min-HUP,H,65,155.701
672,Min-WPK,Cy,96,208.008
673,Min-HWE,C,43,86.821
674,Min-RQC,Wuy,57,117.543
675,Min-JQK,Eip,11,23.999
676,Min-JYC,P,8,15.222
677,Min-QCF,U,49,98.545
678,Min-YGS,Tab,34,66.68
679,Min-UGJ,Xl,23,40.483
680,Min-DIZ,Uom,94,217.563
681,Min-SXX,Vo,98,171.95
682,Min-FUY,St,37,90.565
683,Min-NFE,E,25,56.23
684,Min-KTU,Qy,108,195.508
685,Min-YBC,O,91,157.743
686,Min-VJI,I,69,164.031
687,Min-OFR,Dmn,88,197.014
688,Min-XWK,H,44,99.767
689,Min-PAA,F,17,34.322
690,Min-DLB,Xqv,9,17.173
691,Min-PDH,J,13,28.288
692,Min-MBE,C,93,200.166
693,Min-VDU,Lx,2,5.183
694,Min-FWM,A,118,241.92
695,Min-VKQ,H,41,81.007
696,Min-NWR,S,20,43.206
697,Min-LPP,I,41,100.566
698,Min-GRY,Kvq,68,151.634
699,Min-QJD,H,44,94.891
700,Min-KTP,U,83,149.607
701,Min-ZWD,O,52,111.084
702,Min-ALI,Ww,30,56.722
703,Min-AXU,Td,24,55.397
704,Min-UUY,X,99,217.097
705,Min-EYE,O,60,119.486
706,Min-XDQ,Q,9,16.844
707,Min-KCI,Aj,59,146.88
708,Min-XBW,Lwn,27,64.173
709,Min-TEW,F,92,230.003
710,Min-AWU,Vp,14,31.113
711,Min-CXC,Vpl,63,143.147
712,Min-CGC,Ac,50,128.78
713,Min-FON,Ycz,80,205.316
714,Min-JRB,B,25,44.849
715,Min-VAE,Twl,103,188.948
716,Min-QVU,Wf,37,73.481
717,Min-UIZ,Tf,1,2.521
718,Min-SJZ,Pbk,115,278.787
719,Min-BFH,Eiz,63,155.536
720,Min-FOS,O,106,261.915
721,Min-TMG,Qnr,103,212.153
722,Min-DHG,Hf,102,195.798
723,Min-OKD,Wde,76,147.808
724,Min-GBO,Lvz,31,80.369
725,Min-ZBH,J,32,73.962
726,Min-GXE,U,47,80.1
727,Min-SVW,Jq,79,166.603
728,Min-MKX,O,15,35.853
729,Min-DNX,Mtr,38,67.096
730,Min-NAM,Vrm,31,56.188
731,Min-DVU,Zc,22,37.527
732,Min-XWB,He,52,98.89
733,Min-GDJ,H,117,302.947
734,Min-TEK,Bll,50,113.914
735,Min-NAU,Qow,86,199.277
736,Min-LQN,He,115,289.169
737,Min-WHU,Nvt,79,134.406
738,Min-YYP,He,34,81.911
739,Min-BGV,O,85,149.159
740,Min-JLH,Hz,37,71.822
741,Min-FHI,Blj,66,113.393
742,Min-JHT,A,27,63.448
743,Min-GIS,K,24,53.364
744,Min-FXN,Kuf,29,54.119
745,Min-FGM,U,30,53.966
746,Min-ZLL,Z,27,54.449
747,Min-ONU,Ojz,95,194.832
748,Min-PMP,I,81,141.546
