id_equipo,patente_nave,id_astronauta,rango
82,N-082,1649,2
82,N-082,1728,2
83,N-083,184,4
83,N-083,667,4
83,N-083,1707,1
83,N-083,2160,1
84,N-084,2013,5
84,N-084,2494,3
85,N-085,635,3
86,N-086,316,1
86,N-086,946,4
87,N-087,441,1
87,N-087,1153,2
87,N-087,1383,5
88,N-088,1676,1
89,N-089,92,2
89,N-089,1992,2
91,N-091,163,5
91,N-091,166,4
93,N-093,1523,1
94,N-094,167,3
94,N-094,310,3
95,N-095,839,1
95,N-095,2465,2
97,N-097,174,1
97,N-097,2435,5
98,N-098,91,3
98,N-098,377,2
99,N-099,546,5
99,N-099,1993,2
99,N-099,2309,3
100,N-100,328,3
100,N-100,1478,4
100,N-100,2112,1
100,N-100,2486,3
1000,N-1000,1954,4
1000,N-1000,2482,1
101,N-101,1282,2
102,N-102,303,5
104,N-104,1974,4
104,N-104,2140,1
104,N-104,2201,4
105,N-105,764,1
105,N-105,1366,1
105,N-105,1958,4
106,N-106,512,2
106,N-106,915,5
107,N-107,60,3
107,N-107,140,1
108,N-108,1028,3
109,N-109,1530,3
109,N-109,1841,3
109,N-109,2302,4
110,N-110,45,3
110,N-110,280,2
110,N-110,772,1
110,N-110,1011,5
110,N-110,1123,5
110,N-110,1408,4
111,N-111,153,2
111,N-111,901,5
111,N-111,1453,4
111,N-111,1529,5
112,N-112,1026,4
112,N-112,1176,1
112,N-112,2495,3
113,N-113,847,3
113,N-113,953,2
113,N-113,1443,1
113,N-113,1527,3
114,N-114,552,1
114,N-114,933,2
114,N-114,2139,1
115,N-115,1713,5
115,N-115,2323,5
116,N-116,555,4
116,N-116,640,4
117,N-117,1365,1
117,N-117,1736,4
117,N-117,2239,3
118,N-118,229,1
118,N-118,1387,3
118,N-118,1410,3
119,N-119,454,3
119,N-119,527,3
119,N-119,1181,2
120,N-120,58,1
120,N-120,979,5
120,N-120,1860,5
120,N-120,2042,2
121,N-121,472,5
121,N-121,1650,2
122,N-122,1297,5
122,N-122,1508,4
123,N-123,606,2
123,N-123,814,2
123,N-123,1242,4
124,N-124,595,1
124,N-124,1889,3
124,N-124,1953,5
124,N-124,2157,3
125,N-125,538,5
125,N-125,1803,1
126,N-126,663,5
126,N-126,1275,5
126,N-126,1497,2
126,N-126,1739,2
126,N-126,1824,4
127,N-127,251,3
127,N-127,2078,4
128,N-128,106,5
128,N-128,329,4
128,N-128,1688,3
129,N-129,1211,1
129,N-129,1938,1
130,N-130,1442,2
130,N-130,1658,5
130,N-130,1873,4
131,N-131,6,1
132,N-132,393,3
132,N-132,1013,2
132,N-132,1537,2
133,N-133,10,4
133,N-133,217,5
133,N-133,2474,1
134,N-134,975,1
134,N-134,2362,5
135,N-135,1189,4
136,N-136,204,2
136,N-136,1641,2
136,N-136,2048,2
137,N-137,689,3
137,N-137,783,5
138,N-138,1945,1
139,N-139,108,5
139,N-139,337,2
139,N-139,808,1
139,N-139,1951,5
139,N-139,2337,2
140,N-140,164,5
140,N-140,2200,4
141,N-141,950,4
141,N-141,993,1
141,N-141,1514,3
143,N-143,439,5
143,N-143,775,4
143,N-143,1871,5
144,N-144,1192,4
144,N-144,1667,2
144,N-144,1711,3
144,N-144,2012,3
144,N-144,2453,3
145,N-145,338,3
145,N-145,506,2
145,N-145,1288,1
145,N-145,2358,4
146,N-146,429,1
146,N-146,1341,2
147,N-147,2026,4
148,N-148,272,1
148,N-148,730,1
149,N-149,988,2
149,N-149,2122,5
150,N-150,703,5
150,N-150,1677,3
150,N-150,2096,4
151,N-151,1864,4
151,N-151,2126,2
151,N-151,2424,5
152,N-152,1124,2
153,N-153,1745,1
153,N-153,2333,5
153,N-153,2396,5
154,N-154,1033,3
155,N-155,479,4
155,N-155,1843,2
156,N-156,2164,5
157,N-157,732,2
157,N-157,1041,1
157,N-157,2040,3
158,N-158,882,3
158,N-158,1226,4
158,N-158,2183,2
159,N-159,466,2
159,N-159,829,4
159,N-159,1121,4
159,N-159,1147,4
160,N-160,678,1
161,N-161,150,3
161,N-161,2368,3
161,N-161,2476,4
162,N-162,1328,2
162,N-162,1498,4
162,N-162,2375,3
163,N-163,1260,2
165,N-165,1583,1
165,N-165,1644,4
166,N-166,818,3
166,N-166,1372,1
167,N-167,1376,1
167,N-167,1525,4
167,N-167,2008,4
168,N-168,776,3
168,N-168,1423,2
168,N-168,1748,1
168,N-168,2163,5
169,N-169,733,2
169,N-169,1362,5
169,N-169,1603,5
169,N-169,1773,1
170,N-170,908,4
170,N-170,2179,4
171,N-171,1910,5
171,N-171,1913,4
171,N-171,2438,4
172,N-172,1487,3
172,N-172,1907,4
173,N-173,32,3
173,N-173,651,2
173,N-173,897,2
173,N-173,1322,4
173,N-173,1672,4
173,N-173,2093,4
174,N-174,161,4
174,N-174,284,2
174,N-174,581,1
175,N-175,1029,5
175,N-175,1277,4
175,N-175,1409,3
176,N-176,675,2
176,N-176,876,2
177,N-177,1781,5
178,N-178,213,5
178,N-178,459,5
178,N-178,1120,5
178,N-178,1539,3
178,N-178,1901,4
178,N-178,1905,1
179,N-179,619,1
179,N-179,1764,4
180,N-180,1520,4
181,N-181,212,2
181,N-181,332,1
181,N-181,977,5
181,N-181,1274,2
181,N-181,1914,1
181,N-181,2498,3
183,N-183,2006,5
183,N-183,2144,4
183,N-183,2222,2
184,N-184,992,4
184,N-184,1059,5
185,N-185,98,4
185,N-185,1091,3
185,N-185,1691,4
185,N-185,2431,5
186,N-186,1066,3
186,N-186,1104,5
186,N-186,1214,2
186,N-186,1307,4
187,N-187,436,4
187,N-187,887,3
188,N-188,1687,2
189,N-189,388,5
189,N-189,1786,2
189,N-189,2473,2
190,N-190,413,1
190,N-190,1057,3
190,N-190,1451,3
190,N-190,1835,1
191,N-191,11,4
191,N-191,906,1
191,N-191,1405,2
192,N-192,55,3
192,N-192,1342,2
193,N-193,627,2
193,N-193,1022,5
193,N-193,1301,2
194,N-194,433,2
194,N-194,1568,5
195,N-195,482,2
195,N-195,2065,3
196,N-196,563,4
196,N-196,747,4
196,N-196,1343,5
196,N-196,1495,5
197,N-197,779,2
197,N-197,1719,3
197,N-197,2033,1
197,N-197,2087,2
197,N-197,2143,3
198,N-198,171,2
198,N-198,292,2
198,N-198,1909,4
199,N-199,869,2
199,N-199,1731,4
200,N-200,99,2
201,N-201,1524,3
202,N-202,133,2
202,N-202,575,2
202,N-202,1298,3
202,N-202,1452,2
202,N-202,1694,4
203,N-203,591,4
203,N-203,806,5
203,N-203,2113,5
204,N-204,169,2
204,N-204,1068,5
204,N-204,2156,2
205,N-205,1122,4
205,N-205,1832,5
206,N-206,811,4
206,N-206,1782,5
206,N-206,2205,4
207,N-207,323,3
207,N-207,327,1
208,N-208,893,1
208,N-208,945,2
208,N-208,1143,1
209,N-209,593,5
211,N-211,331,1
211,N-211,1836,4
212,N-212,17,3
212,N-212,84,3
212,N-212,415,4
212,N-212,435,1
214,N-214,347,2
214,N-214,394,5
214,N-214,475,5
214,N-214,1565,2
214,N-214,2346,1
214,N-214,2462,5
215,N-215,656,3
215,N-215,1794,4
215,N-215,1847,1
215,N-215,2420,4
215,N-215,2448,1
216,N-216,902,4
216,N-216,1862,5
216,N-216,1967,4
217,N-217,904,5
218,N-218,24,2
218,N-218,1203,3
218,N-218,2408,2
220,N-220,173,5
220,N-220,579,2
221,N-221,1881,5
221,N-221,2410,5
222,N-222,2248,1
222,N-222,2372,2
222,N-222,2441,5
223,N-223,644,1
223,N-223,959,5
223,N-223,1438,1
224,N-224,453,5
224,N-224,791,1
224,N-224,1655,5
225,N-225,1015,3
225,N-225,2463,5
225,N-225,2468,3
228,N-228,759,4
228,N-228,1213,4
230,N-230,374,3
230,N-230,1662,4
230,N-230,1789,4
230,N-230,2049,3
230,N-230,2428,2
231,N-231,160,2
231,N-231,609,3
231,N-231,1082,1
231,N-231,2217,4
232,N-232,1411,2
233,N-233,1023,4
233,N-233,1209,1
234,N-234,1879,4
234,N-234,2484,3
235,N-235,2029,1
236,N-236,2167,3
237,N-237,803,4
237,N-237,1480,4
237,N-237,2046,2
237,N-237,2209,4
238,N-238,380,1
238,N-238,404,4
239,N-239,205,4
239,N-239,580,3
239,N-239,789,2
240,N-240,1285,5
240,N-240,1971,2
240,N-240,2184,4
242,N-242,957,1
244,N-244,464,4
244,N-244,1270,1
244,N-244,2186,1
245,N-245,275,5
245,N-245,1240,2
246,N-246,77,2
246,N-246,158,1
246,N-246,460,3
247,N-247,577,5
247,N-247,1986,1
249,N-249,411,1
249,N-249,2128,2
250,N-250,157,4
250,N-250,1238,3
250,N-250,1595,4
251,N-251,2312,4
251,N-251,2313,1
252,N-252,78,5
252,N-252,211,2
252,N-252,1048,2
252,N-252,1602,1
253,N-253,698,3
253,N-253,920,2
253,N-253,2061,4
254,N-254,1130,2
254,N-254,2111,3
255,N-255,1751,4
255,N-255,2094,3
256,N-256,2442,4
257,N-257,16,1
257,N-257,224,5
257,N-257,751,1
258,N-258,264,1
258,N-258,560,4
259,N-259,1243,2
259,N-259,2133,1
260,N-260,147,4
261,N-261,1991,5
262,N-262,648,1
264,N-264,1075,4
264,N-264,1151,3
264,N-264,1229,5
264,N-264,1769,1
267,N-267,984,1
267,N-267,2219,5
268,N-268,424,1
269,N-269,603,4
269,N-269,643,4
269,N-269,1177,3
269,N-269,1263,2
269,N-269,2191,4
269,N-269,2263,2
269,N-269,2402,5
270,N-270,2241,5
271,N-271,754,5
271,N-271,809,3
271,N-271,886,3
271,N-271,2296,5
271,N-271,2374,4
272,N-272,397,5
272,N-272,1634,4
272,N-272,1701,3
272,N-272,2161,5
273,N-273,23,2
273,N-273,31,2
273,N-273,612,3
273,N-273,1017,5
274,N-274,989,3
275,N-275,1333,3
275,N-275,2266,3
276,N-276,1812,3
276,N-276,2314,4
276,N-276,2316,2
277,N-277,182,2
277,N-277,1435,3
278,N-278,802,5
279,N-279,356,5
279,N-279,1898,5
280,N-280,520,4
280,N-280,765,1
280,N-280,1774,2
281,N-281,1158,1
282,N-282,922,3
282,N-282,1494,3
283,N-283,604,2
283,N-283,1113,5
283,N-283,1172,4
283,N-283,1593,4
284,N-284,1157,5
284,N-284,2311,2
285,N-285,1759,2
286,N-286,958,2
286,N-286,1364,4
286,N-286,2172,2
287,N-287,632,2
287,N-287,939,1
287,N-287,2349,1
287,N-287,2353,1
288,N-288,1403,3
288,N-288,1553,5
288,N-288,2017,3
289,N-289,1872,4
289,N-289,1883,3
290,N-290,1437,5
290,N-290,1952,1
290,N-290,2193,3
290,N-290,2354,2
290,N-290,2383,5
290,N-290,2416,5
291,N-291,1800,1
291,N-291,2084,1
292,N-292,642,5
292,N-292,2305,3
293,N-293,1485,2
293,N-293,2091,2
294,N-294,523,1
294,N-294,986,3
294,N-294,1663,5
295,N-295,2194,4
296,N-296,1327,4
297,N-297,1039,3
297,N-297,2457,5
298,N-298,1654,3
298,N-298,1867,4
298,N-298,2422,2
299,N-299,2182,5
300,N-300,1724,3
300,N-300,2059,5
301,N-301,344,1
302,N-302,924,4
302,N-302,1518,3
302,N-302,2102,5
303,N-303,76,2
303,N-303,1149,5
303,N-303,1706,2
303,N-303,1807,2
303,N-303,2047,1
304,N-304,4,4
304,N-304,633,1
304,N-304,1465,3
305,N-305,477,3
305,N-305,2308,1
305,N-305,2401,3
306,N-306,315,3
306,N-306,2019,5
307,N-307,682,5
307,N-307,2467,1
308,N-308,792,4
308,N-308,1473,5
308,N-308,2234,5
309,N-309,1942,5
309,N-309,2082,3
310,N-310,9,5
310,N-310,2483,3
311,N-311,39,4
311,N-311,664,1
311,N-311,2426,1
312,N-312,572,5
313,N-313,1185,5
313,N-313,2287,2
314,N-314,706,3
314,N-314,2253,4
315,N-315,1201,3
315,N-315,1404,3
316,N-316,2,4
316,N-316,1738,1
317,N-317,2264,3
318,N-318,1449,1
319,N-319,64,4
319,N-319,541,2
319,N-319,623,3
319,N-319,2406,5
320,N-320,1006,1
320,N-320,1370,5
320,N-320,1965,5
320,N-320,2439,2
321,N-321,972,1
321,N-321,1196,5
321,N-321,1681,2
322,N-322,102,2
322,N-322,760,5
323,N-323,589,1
323,N-323,1170,5
324,N-324,120,5
325,N-325,2405,2
326,N-326,183,1
326,N-326,1155,1
326,N-326,1340,5
327,N-327,1367,2
328,N-328,115,5
328,N-328,737,1
328,N-328,889,5
329,N-329,1005,1
330,N-330,787,4
330,N-330,1653,2
330,N-330,2233,3
331,N-331,496,1
331,N-331,1983,3
331,N-331,1984,2
332,N-332,1009,4
333,N-333,154,4
333,N-333,1615,5
335,N-335,70,4
335,N-335,1479,5
335,N-335,1599,4
335,N-335,2226,5
335,N-335,2232,1
336,N-336,49,4
336,N-336,2491,2
336,N-336,2497,2
337,N-337,713,2
337,N-337,1931,1
338,N-338,978,1
338,N-338,1821,3
340,N-340,914,4
340,N-340,1218,2
341,N-341,1726,1
342,N-342,407,4
342,N-342,443,2
342,N-342,567,2
342,N-342,1062,2
342,N-342,1793,2
342,N-342,2423,2
343,N-343,225,4
343,N-343,683,1
343,N-343,770,5
344,N-344,129,4
344,N-344,726,2
344,N-344,1217,4
344,N-344,1605,3
344,N-344,1666,1
344,N-344,1891,3
345,N-345,249,5
345,N-345,1292,2
345,N-345,1755,4
346,N-346,41,3
346,N-346,1549,4
346,N-346,1575,2
347,N-347,676,2
347,N-347,1814,5
348,N-348,14,5
348,N-348,1564,3
348,N-348,2471,5
350,N-350,2499,1
351,N-351,599,3
351,N-351,790,4
351,N-351,1509,4
352,N-352,95,5
352,N-352,2208,1
352,N-352,2417,5
353,N-353,395,3
353,N-353,866,3
353,N-353,1107,3
353,N-353,1768,2
354,N-354,200,1
354,N-354,944,3
354,N-354,2099,3
354,N-354,2326,3
355,N-355,396,3
357,N-357,1144,4
358,N-358,451,2
358,N-358,884,2
358,N-358,1616,3
359,N-359,297,4
359,N-359,1142,3
360,N-360,478,3
360,N-360,547,4
360,N-360,650,4
360,N-360,840,1
360,N-360,1698,1
360,N-360,2158,4
361,N-361,2037,5
364,N-364,1447,5
364,N-364,1643,4
364,N-364,2433,4
364,N-364,2480,1
365,N-365,325,2
365,N-365,406,3
365,N-365,888,1
365,N-365,1545,4
365,N-365,1727,5
365,N-365,2136,5
366,N-366,610,3
366,N-366,2162,2
367,N-367,322,4
367,N-367,416,3
367,N-367,1034,4
368,N-368,1069,5
368,N-368,2461,5
369,N-369,29,4
369,N-369,109,1
369,N-369,1589,3
369,N-369,2284,4
370,N-370,934,5
370,N-370,2166,1
371,N-371,428,4
371,N-371,485,2
371,N-371,1592,1
371,N-371,1753,3
372,N-372,1608,5
373,N-373,278,3
373,N-373,1468,5
373,N-373,2083,5
374,N-374,408,4
374,N-374,1174,5
374,N-374,1510,1
374,N-374,1629,3
375,N-375,445,5
375,N-375,1030,1
375,N-375,2187,5
376,N-376,1093,3
376,N-376,1210,4
376,N-376,1347,2
378,N-378,452,2
378,N-378,583,2
378,N-378,943,5
379,N-379,931,5
379,N-379,1916,2
380,N-380,903,3
380,N-380,1128,3
380,N-380,1657,3
380,N-380,2260,1
381,N-381,677,3
381,N-381,1535,5
382,N-382,1521,5
382,N-382,1690,2
383,N-383,42,1
383,N-383,238,1
383,N-383,923,4
383,N-383,1315,3
383,N-383,1506,5
383,N-383,2185,5
384,N-384,879,1
385,N-385,474,2
385,N-385,1969,4
385,N-385,2343,2
386,N-386,716,4
386,N-386,1357,2
387,N-387,312,2
387,N-387,608,3
387,N-387,800,5
387,N-387,1808,5
388,N-388,2024,4
389,N-389,1476,5
389,N-389,2425,4
390,N-390,1921,1
390,N-390,2275,3
391,N-391,228,2
391,N-391,1420,4
391,N-391,1512,4
392,N-392,1551,2
392,N-392,2366,5
393,N-393,1178,3
393,N-393,1245,1
393,N-393,2381,4
394,N-394,387,2
394,N-394,2350,1
395,N-395,657,1
395,N-395,769,5
395,N-395,2329,3
396,N-396,848,5
396,N-396,1716,5
397,N-397,82,4
397,N-397,181,2
397,N-397,483,1
397,N-397,1744,4
399,N-399,458,5
400,N-400,430,3
400,N-400,469,3
400,N-400,1375,5
401,N-401,373,5
401,N-401,528,1
401,N-401,1570,5
402,N-402,321,5
402,N-402,1279,5
402,N-402,1554,3
402,N-402,1555,1
404,N-404,1037,2
404,N-404,2000,2
404,N-404,2301,2
406,N-406,956,5
407,N-407,2169,3
408,N-408,1321,1
408,N-408,1526,4
408,N-408,1639,4
409,N-409,101,2
409,N-409,448,2
409,N-409,1081,4
409,N-409,1396,4
410,N-410,900,4
410,N-410,1904,4
413,N-413,291,2
413,N-413,982,1
413,N-413,1378,2
413,N-413,2235,4
414,N-414,854,5
414,N-414,1216,5
415,N-415,240,4
415,N-415,1303,2
415,N-415,1802,5
415,N-415,2175,5
415,N-415,2440,5
416,N-416,206,3
416,N-416,936,5
416,N-416,983,3
416,N-416,1351,4
416,N-416,2190,4
417,N-417,357,4
417,N-417,781,5
418,N-418,341,2
418,N-418,1173,2
418,N-418,1567,5
418,N-418,1660,2
418,N-418,1699,1
420,N-420,27,2
420,N-420,457,3
420,N-420,927,5
420,N-420,1103,1
420,N-420,1361,1
420,N-420,2393,4
420,N-420,2470,4
421,N-421,382,5
421,N-421,517,4
421,N-421,1377,1
421,N-421,2028,5
421,N-421,2272,2
422,N-422,221,3
423,N-423,1382,5
423,N-423,2218,2
424,N-424,283,1
424,N-424,293,5
425,N-425,298,5
425,N-425,863,2
425,N-425,1042,4
426,N-426,734,4
426,N-426,955,2
427,N-427,203,3
427,N-427,486,2
427,N-427,1099,3
428,N-428,544,1
428,N-428,720,3
428,N-428,1078,5
429,N-429,1313,4
432,N-432,1636,3
433,N-433,1056,4
434,N-434,48,5
434,N-434,1096,2
434,N-434,1141,3
434,N-434,1360,5
436,N-436,368,1
437,N-437,2387,2
438,N-438,1682,3
439,N-439,2369,2
440,N-440,7,3
440,N-440,1193,4
441,N-441,830,5
441,N-441,870,1
441,N-441,1184,5
441,N-441,1385,3
441,N-441,2460,3
442,N-442,104,1
442,N-442,2388,2
443,N-443,170,1
443,N-443,1061,4
443,N-443,2370,4
445,N-445,1900,1
445,N-445,2197,2
445,N-445,2363,2
446,N-446,89,1
447,N-447,61,5
447,N-447,919,3
447,N-447,2062,3
450,N-450,535,2
450,N-450,630,3
450,N-450,741,2
450,N-450,942,2
450,N-450,1600,4
450,N-450,2469,3
451,N-451,63,3
451,N-451,1665,3
451,N-451,1997,5
451,N-451,2257,3
452,N-452,107,1
452,N-452,1765,5
452,N-452,1970,3
452,N-452,2168,1
453,N-453,896,2
453,N-453,1116,1
453,N-453,1756,1
454,N-454,509,2
454,N-454,976,1
455,N-455,113,1
455,N-455,1882,4
455,N-455,2070,2
456,N-456,1047,2
457,N-457,1084,3
457,N-457,1137,5
457,N-457,2089,5
457,N-457,2418,5
458,N-458,865,5
458,N-458,1204,5
458,N-458,1922,2
458,N-458,2244,5
459,N-459,1171,5
459,N-459,1425,4
459,N-459,1576,3
460,N-460,256,3
460,N-460,1959,1
460,N-460,2181,2
461,N-461,605,5
461,N-461,1199,5
461,N-461,1780,5
462,N-462,18,3
462,N-462,885,5
463,N-463,1402,5
463,N-463,1893,5
464,N-464,47,2
464,N-464,1430,5
464,N-464,2262,4
464,N-464,2373,2
465,N-465,179,5
465,N-465,816,3
465,N-465,2411,5
466,N-466,530,2
466,N-466,1467,2
466,N-466,1507,2
467,N-467,1455,3
468,N-468,88,2
468,N-468,738,2
468,N-468,1395,2
469,N-469,1187,2
469,N-469,2038,2
470,N-470,405,3
470,N-470,883,5
470,N-470,2052,1
471,N-471,257,1
471,N-471,653,4
471,N-471,766,3
471,N-471,838,5
471,N-471,962,5
471,N-471,1326,1
471,N-471,1630,3
471,N-471,1912,5
471,N-471,2224,2
472,N-472,693,4
472,N-472,875,4
473,N-473,594,2
473,N-473,1232,2
473,N-473,1962,5
474,N-474,1684,3
474,N-474,1723,1
475,N-475,1374,5
475,N-475,2334,4
476,N-476,324,5
477,N-477,1074,1
477,N-477,1825,5
478,N-478,72,3
478,N-478,1222,2
479,N-479,526,5
479,N-479,2092,1
481,N-481,186,2
482,N-482,487,3
482,N-482,1446,1
483,N-483,2292,5
484,N-484,74,3
484,N-484,1386,2
485,N-485,263,1
486,N-486,505,1
486,N-486,590,2
486,N-486,641,1
486,N-486,709,4
486,N-486,1823,3
487,N-487,679,3
487,N-487,794,1
487,N-487,990,5
489,N-489,758,1
489,N-489,2223,5
490,N-490,242,2
490,N-490,1880,3
491,N-491,768,1
491,N-491,1168,5
492,N-492,197,3
492,N-492,491,4
492,N-492,1490,3
492,N-492,2016,4
493,N-493,176,4
493,N-493,271,1
494,N-494,607,4
494,N-494,1563,1
494,N-494,1982,2
495,N-495,381,2
495,N-495,951,4
495,N-495,1466,2
495,N-495,1939,5
496,N-496,728,4
496,N-496,743,5
496,N-496,1532,3
496,N-496,1943,1
497,N-497,815,4
497,N-497,1762,2
497,N-497,2106,5
498,N-498,149,1
498,N-498,1036,1
498,N-498,2340,1
499,N-499,1118,5
499,N-499,2220,1
500,N-500,1783,3
500,N-500,2280,5
501,N-501,752,4
501,N-501,1389,4
501,N-501,2204,4
502,N-502,531,4
502,N-502,2315,2
503,N-503,2276,1
505,N-505,835,5
505,N-505,2404,1
506,N-506,1474,4
506,N-506,1961,1
507,N-507,771,5
507,N-507,1346,1
507,N-507,2299,4
508,N-508,30,5
508,N-508,1730,4
508,N-508,1929,3
509,N-509,290,2
509,N-509,1235,1
510,N-510,209,1
510,N-510,239,1
510,N-510,1348,2
510,N-510,1416,5
511,N-511,398,2
511,N-511,727,1
511,N-511,1007,5
511,N-511,1718,4
512,N-512,21,5
512,N-512,1627,2
513,N-513,34,3
513,N-513,336,5
513,N-513,596,1
513,N-513,1966,3
514,N-514,1261,1
514,N-514,1267,5
515,N-515,1156,4
515,N-515,1250,1
515,N-515,1670,5
515,N-515,2079,1
516,N-516,152,1
516,N-516,2335,3
517,N-517,1511,2
517,N-517,1809,5
517,N-517,2101,1
517,N-517,2481,3
518,N-518,35,4
518,N-518,126,2
519,N-519,1284,1
519,N-519,1848,2
520,N-520,8,4
520,N-520,274,2
520,N-520,763,3
521,N-521,159,2
521,N-521,364,3
521,N-521,565,2
522,N-522,277,4
522,N-522,1642,2
522,N-522,2414,4
524,N-524,1067,4
524,N-524,1336,1
524,N-524,1664,5
524,N-524,1857,2
525,N-525,266,3
525,N-525,306,4
525,N-525,1330,5
526,N-526,1038,3
526,N-526,1703,1
527,N-527,232,1
527,N-527,525,1
527,N-527,1167,2
527,N-527,1499,3
528,N-528,1647,4
528,N-528,1919,1
528,N-528,2436,2
529,N-529,1519,4
529,N-529,1937,3
530,N-530,494,1
530,N-530,1086,1
531,N-531,1777,1
531,N-531,1831,2
531,N-531,2127,4
531,N-531,2146,4
532,N-532,1027,2
533,N-533,2409,2
534,N-534,1546,4
535,N-535,75,2
535,N-535,1363,2
536,N-536,481,3
536,N-536,1757,2
537,N-537,1538,3
538,N-538,119,3
538,N-538,618,3
538,N-538,849,5
538,N-538,2041,4
538,N-538,2159,4
539,N-539,83,4
539,N-539,1132,1
539,N-539,2342,4
540,N-540,2022,5
540,N-540,2031,2
542,N-542,1272,1
542,N-542,2196,5
543,N-543,1580,4
543,N-543,1978,5
544,N-544,241,5
545,N-545,122,1
545,N-545,369,5
545,N-545,646,4
545,N-545,684,5
545,N-545,797,4
546,N-546,333,3
