id_planeta,id_mineral,cantidad_disponible,pureza
68,375,315829.686,0.646
69,1070,969066.515,0.169
69,54,968047.923,0.492
69,197,821167.561,0.607
69,1228,616386.201,0.701
69,447,45703.037,0.723
69,1580,874161.547,0.603
70,1708,356219.253,0.202
70,210,739981.303,0.722
71,272,832878.121,0.515
71,830,940133.648,0.976
71,259,518648.217,0.146
71,1485,549223.265,0.35
71,741,321279.711,0.106
72,576,517886.776,0.49
72,1795,927153.816,0.536
72,606,27302.625,0.364
73,648,765751.652,0.554
73,1281,384657.338,0.406
73,283,908249.65,0.102
73,196,623765.595,0.304
73,1859,809911.494,0.305
74,1353,469779.163,0.784
74,699,530866.518,0.225
74,1029,700275.62,0.203
75,890,757701.023,0.932
75,600,379766.606,0.654
75,1508,149856.31,0.558
76,1365,823960.17,0.53
76,932,492898.231,0.365
76,1894,724084.928,0.248
76,303,204864.531,0.919
77,1749,876129.456,0.733
77,928,582667.716,0.364
77,1338,343420.245,0.979
77,955,622698.236,0.466
78,1964,442954.035,0.435
78,937,913588.648,0.627
79,1019,903255.062,0.465
80,150,865855.094,0.934
80,1404,973234.91,0.15
81,1822,251692.259,0.705
81,975,560125.721,0.591
81,813,23003.551,0.47
81,1836,729190.045,0.373
81,1630,374894.049,0.72
81,1758,166205.786,0.063
82,1087,733390.543,0.448
82,850,288455.758,0.116
82,1193,429752.416,0.861
82,1552,988531.773,0.598
83,1490,473713.371,0.733
83,841,997960.281,0.61
83,1045,431341.108,0.563
84,1540,975036.515,0.422
84,1814,509804.939,0.943
84,1203,999262.447,0.365
85,1235,259963.749,0.707
85,1468,143225.185,0.714
85,1394,882244.647,0.276
85,1823,310002.687,0.371
85,1917,626850.86,0.11
86,1378,96682.306,0.118
86,1596,874939.667,0.288
87,1273,313515.277,0.962
87,1592,215211.146,0.667
87,564,695505.405,0.821
87,62,181251.534,0.369
88,1714,639332.638,0.64
88,1061,446452.847,0.341
88,756,291339.525,0.415
88,1935,101366.996,0.43
88,150,1177.466,0.84
89,1477,893071.033,0.059
89,903,841969.758,0.339
89,258,469910.061,0.07
90,1367,347075.595,0.315
90,548,653285.64,0.525
91,1423,746014.93,0.477
91,499,103128.805,0.831
91,1997,503618.766,0.415
92,1933,686225.69,0.476
93,1619,579673.678,0.231
93,126,807508.881,0.492
93,1332,339581.388,0.24
93,245,559394.492,0.943
94,1449,748414.733,0.051
94,1160,284094.139,0.745
95,1095,513529.151,0.299
95,1756,780749.288,0.576
95,1818,818730.426,0.081
96,840,246843.235,0.803
96,373,119285.386,0.248
97,1314,21685.147,0.299
97,351,76637.499,0.961
97,610,777857.387,0.525
97,1532,88633.87,0.276
98,1205,949130.906,0.216
99,24,894261.37,0.073
99,1836,488960.655,0.253
99,1271,563346.499,0.454
99,375,340475.179,0.739
99,966,651579.302,0.724
100,1694,738026.69,0.743
100,613,108800.942,0.09
100,925,133436.427,0.477
101,1240,970345.033,0.932
101,350,944023.585,0.503
101,1124,205784.671,0.932
101,1955,858880.008,0.643
101,1413,395795.479,0.141
101,362,54812.192,0.195
102,605,373825.701,0.454
102,1594,581370.512,0.58
102,1306,659801.777,0.429
102,1354,985229.299,0.567
102,1758,651364.285,0.204
103,620,565924.676,0.943
103,814,67333.679,0.245
103,1550,209226.384,0.517
103,353,861768.996,0.853
104,58,443586.403,0.227
104,238,142193.242,0.196
104,396,233949.518,0.513
104,870,190537.456,0.455
105,1278,185963.887,0.671
105,1647,276412.542,0.472
106,1278,448038.764,0.819
106,1663,351107.157,0.54
106,1279,826336.187,0.191
106,1028,959896.958,0.424
106,946,615334.771,0.497
107,196,522798.077,0.518
108,1504,433325.09,0.297
108,872,585769.26,0.369
108,1740,922040.089,0.11
108,1938,570326.615,0.698
108,1951,958940.185,0.243
108,884,557273.114,0.17
109,89,955136.231,0.168
110,12,622949.583,0.757
110,1919,214057.991,0.549
110,866,841028.905,0.814
110,1009,533028.84,0.186
110,861,797616.248,0.278
110,121,519545.732,0.078
111,1766,403344.807,0.584
111,1139,407290.058,0.277
111,1959,34687.348,0.439
112,401,125186.197,0.777
112,1,389583.262,0.378
113,366,255728.817,0.686
113,574,203546.256,0.316
114,1816,126309.583,0.447
114,114,651693.246,0.086
114,1763,520683.762,0.945
115,1092,269127.916,0.368
116,1764,967341.666,0.348
116,122,993988.719,0.589
116,944,730334.72,0.749
116,1305,184462.253,0.286
116,1963,345886.973,0.92
116,282,689349.043,0.12
117,28,657260.418,0.699
117,1927,893358.687,0.685
118,63,71835.291,0.138
118,1709,421756.436,0.668
118,212,638576.329,0.919
119,1106,532094.488,0.566
119,782,825732.344,0.684
119,1487,924259.357,0.674
119,1175,724959.459,0.274
120,1032,905749.335,0.907
120,881,765955.226,0.624
120,1119,607760.492,0.858
120,1686,85552.271,0.929
120,311,514671.881,0.279
120,341,707179.181,0.238
121,663,98650.989,0.112
122,1849,322383.85,0.493
122,1675,752666.395,0.801
122,266,63911.221,0.888
122,1409,471554.119,0.469
122,1154,881529.091,0.468
123,935,860014.471,0.1
123,1208,577494.666,0.703
123,517,776182.537,0.317
123,1329,834111.222,0.247
124,1750,538931.938,0.945
124,1944,443750.937,0.223
125,52,7030.027,0.611
125,585,513449.861,0.317
125,672,168608.701,0.5
126,957,532634.277,0.198
126,1824,175646.523,0.65
127,1927,682204.428,0.837
128,1369,920517.31,0.344
128,1720,855027.298,0.13
128,1471,12740.391,0.26
128,1879,5574.637,0.859
129,1311,316572.535,0.17
129,1239,130270.821,0.895
129,959,316178.129,0.341
129,1576,736130.907,0.961
130,618,116703.819,0.806
130,662,285559.64,0.352
130,1425,459117.724,0.478
131,1983,614860.498,0.918
131,280,447399.281,0.283
131,495,472851.291,0.362
131,212,959776.382,0.726
131,361,455008.162,0.267
131,540,839875.237,0.087
132,223,452243.951,0.121
132,1567,877605.92,0.809
132,1125,467783.212,0.336
133,1374,945307.325,0.629
133,915,497291.323,0.605
133,70,656686.226,0.065
133,401,209340.28,0.432
133,36,468043.481,0.728
133,435,48084.486,0.654
134,1507,725864.188,0.956
134,1207,686289.436,0.489
135,59,378134.208,0.634
135,820,628791.235,0.753
135,1242,593539.871,0.507
135,1962,579681.599,0.121
135,336,472043.806,0.677
136,151,380928.26,0.959
136,1311,440096.026,0.501
136,801,383723.401,0.444
136,23,984469.283,0.712
136,1542,708515.066,0.867
137,896,918340.875,0.389
137,289,314779.995,0.759
137,165,277813.834,0.932
137,207,133347.071,0.16
137,1798,336166.097,0.89
138,1273,65727.675,0.283
138,1624,110839.492,0.532
138,1376,310211.306,0.305
138,1805,786040.018,0.194
139,993,304059.523,0.269
140,825,841426.041,0.3
140,661,670793.819,0.244
140,1395,697886.747,0.545
140,639,361759.034,0.113
140,151,831073.823,0.893
141,531,630166.61,0.797
141,156,736623.883,0.664
141,1446,192039.506,0.094
141,225,335512.097,0.544
141,1720,457769.813,0.455
142,938,93459.658,0.189
142,107,289984.857,0.875
142,1755,573796.412,0.672
142,568,190429.383,0.567
142,1420,892777.396,0.751
143,664,702225.187,0.494
143,1558,486069.841,0.53
143,29,675234.405,0.185
143,1605,803222.846,0.368
143,199,838926.896,0.203
143,750,812372.354,0.893
144,431,805628.277,0.63
144,1053,500425.881,0.255
145,184,277923.32,0.975
145,958,594733.682,0.402
145,1017,339897.508,0.238
146,540,865569.459,0.826
146,1171,466963.891,0.823
146,155,513320.13,0.204
146,1262,5916.309,0.266
146,590,635795.453,0.806
146,599,274564.345,0.322
147,953,204152.624,0.889
147,1810,375623.891,0.115
147,1504,531677.954,0.525
147,1466,823524.016,0.494
148,493,87169.109,0.779
148,1122,633720.179,0.574
148,626,406911.189,0.871
148,771,210903.309,0.165
148,1638,657689.176,0.784
148,606,392602.88,0.821
149,1269,335185.13,0.76
149,320,253142.581,0.572
150,1226,46329.217,0.523
151,1055,423726.198,0.314
151,1920,878206.058,0.94
151,114,623278.922,0.192
152,1634,258723.795,0.471
152,1594,385296.919,0.755
153,549,324779.972,0.093
153,1031,602920.656,0.554
153,561,460200.717,0.805
153,1976,684433.013,0.716
154,1728,838670.142,0.371
154,878,41787.853,0.907
154,147,212271.346,0.344
154,1700,633675.428,0.411
154,367,545814.099,0.402
154,325,919831.477,0.705
155,562,504404.752,0.764
155,100,650393.737,0.971
155,1618,648355.263,0.417
155,1602,483990.265,0.201
156,1654,187630.711,0.698
156,1223,847177.852,0.209
157,488,606012.115,0.362
157,983,279003.677,0.951
157,1632,240826.945,0.617
157,269,989281.366,0.091
157,1727,239330.327,0.331
158,577,885429.711,0.253
158,962,210932.44,0.1
158,88,618081.104,0.912
159,176,762795.506,0.777
159,166,547005.174,0.504
159,517,582503.844,0.762
159,338,604977.956,0.617
159,949,680740.616,0.527
160,1521,659503.709,0.283
160,369,142341.903,0.251
160,206,799947.824,0.757
160,680,742348.576,0.968
160,911,680597.318,0.454
161,1825,324219.011,0.528
161,1503,371689.667,0.438
161,1150,371105.707,0.497
161,1142,354184.315,0.747
162,1428,891459.43,0.76
162,696,779264.512,0.126
162,527,997924.888,0.364
162,102,875957.67,0.3
162,1379,799358.234,0.522
162,680,18562.161,0.075
163,572,341668.844,0.11
163,1146,545476.373,0.727
163,374,772013.622,0.414
163,1849,756966.914,0.167
164,942,916675.979,0.868
164,383,48013.248,0.441
165,902,768522.985,0.142
165,216,496218.514,0.823
165,1795,283650.107,0.564
165,1676,489390.297,0.149
166,409,503559.866,0.157
166,1654,681114.157,0.597
166,754,525369.516,0.832
167,716,870013.156,0.549
167,1633,417954.817,0.195
168,527,716751.838,0.849
168,1180,818398.867,0.243
168,1014,565299.201,0.706
169,31,988388.745,0.37
169,754,890068.558,0.687
169,1577,553111.949,0.46
169,914,807374.971,0.305
169,1465,504304.01,0.597
169,233,293469.419,0.451
170,844,714127.74,0.509
170,1253,355926.924,0.377
170,197,105813.787,0.286
170,1440,49402.999,0.662
170,937,349342.575,0.68
171,1461,926374.107,0.693
171,633,111686.547,0.33
171,1127,900803.484,0.203
171,13,381437.075,0.555
172,1419,935891.085,0.646
173,1401,237010.7,0.304
173,786,437667.861,0.242
173,512,783854.657,0.768
173,857,607946.937,0.342
174,162,373820.916,0.648
174,1756,666552.462,0.772
174,475,743778.549,0.149
175,993,134308.762,0.426
175,627,264110.35,0.196
175,200,341406.918,0.139
175,1656,90000.055,0.883
175,1558,859344.82,0.912
175,785,40198.637,0.709
176,1250,217272.588,0.389
176,1263,826821.794,0.094
176,1249,229890.172,0.461
176,1303,993833.152,0.452
176,768,893676.495,0.426
177,489,568325.577,0.572
177,522,249726.554,0.689
177,211,737204.883,0.773
177,462,9111.679,0.171
177,1921,568817.807,0.635
178,468,766776.022,0.969
178,1296,50708.526,0.497
179,1883,25698.198,0.765
179,659,850643.17,0.12
179,1687,424608.496,0.75
179,684,681432.61,0.082
179,414,189916.595,0.466
180,1325,328350.709,0.158
180,1926,413510.508,0.787
180,168,47595.637,0.188
180,1903,19811.709,0.718
180,412,968604.705,0.875
181,1618,66387.03,0.224
182,1277,970700.872,0.828
183,1076,900625.331,0.75
183,199,516816.003,0.265
183,98,758077.708,0.944
183,569,657844.053,0.239
183,64,150211.558,0.88
184,253,80250.166,0.724
184,1726,634655.805,0.216
184,313,378410.96,0.403
185,1475,976147.041,0.299
185,1804,666319.343,0.709
186,608,297005.426,0.96
186,1787,969916.545,0.97
187,290,102271.335,0.202
188,471,360431.043,0.106
188,692,808442.952,0.717
189,398,973663.943,0.604
189,495,128405.225,0.748
189,1687,137810.02,0.187
189,627,900464.683,0.846
189,1683,19382.547,0.611
189,1948,849275.454,0.144
190,123,626792.311,0.365
190,152,951731.193,0.143
190,530,701935.1,0.654
190,1107,867344.501,0.661
190,1601,987402.605,0.072
191,1594,10993.293,0.824
192,588,968678.174,0.842
192,1958,545330.486,0.164
193,1672,354441.664,0.663
193,1870,852803.871,0.909
193,1373,369800.464,0.869
193,1918,952232.657,0.053
194,1798,593163.244,0.893
194,687,165306.253,0.949
194,1207,708567.428,0.297
194,1934,781426.857,0.14
194,829,50520.543,0.802
194,91,698669.394,0.254
195,1255,296744.033,0.435
195,1435,900749.261,0.731
195,130,89357.679,0.133
195,1889,888659.572,0.116
196,733,267714.646,0.538
196,1366,351607.799,0.405
197,7,982106.91,0.828
197,1236,109728.638,0.304
197,1870,580960.14,0.301
198,1085,934835.351,0.181
199,777,107613.631,0.796
199,1566,32594.734,0.451
199,670,878516.489,0.174
199,1190,217057.209,0.296
199,1935,711488.778,0.094
199,1263,270736.223,0.385
200,22,909972.807,0.573
200,558,681118.73,0.326
200,1451,778275.034,0.186
201,112,770186.066,0.457
201,1398,818017.847,0.762
201,1845,412339.276,0.734
201,1817,923891.197,0.928
201,1297,785974.65,0.105
202,1104,717046.517,0.477
202,29,443250.933,0.12
203,517,810878.313,0.603
203,426,786601.832,0.519
204,1032,421260.811,0.314
204,1606,545353.693,0.837
204,782,45403.648,0.413
204,946,500577.775,0.684
205,1650,389527.594,0.726
205,468,103375.314,0.939
206,197,876603.609,0.188
206,1659,806567.584,0.426
206,1257,636491.767,0.836
206,1830,109062.333,0.628
206,1276,178059.615,0.227
207,1582,551517.538,0.271
207,212,188247.202,0.736
207,1392,305520.057,0.724
207,690,636660.615,0.71
207,461,626727.933,0.709
208,1438,139682.01,0.559
208,1277,878959.537,0.544
208,634,399345.12,0.531
208,980,156145.8,0.369
208,472,458716.062,0.957
208,953,603680.163,0.32
209,1319,213663.478,0.13
209,52,435026.892,0.196
209,229,698106.329,0.33
209,1598,486943.101,0.932
209,1973,17185.088,0.135
209,697,954138.263,0.509
210,396,214027.11,0.952
210,73,354866.558,0.641
211,1777,226632.039,0.484
211,360,590347.43,0.934
211,1655,846519.617,0.263
211,22,171224.382,0.585
212,496,43150.376,0.845
212,1529,866685.012,0.598
212,495,651796.625,0.153
212,286,858677.725,0.422
213,1598,257012.535,0.66
213,665,637006.644,0.645
213,958,829488.401,0.817
213,995,147887.833,0.393
213,1805,593382.789,0.453
213,1893,242367.42,0.549
214,1868,259503.299,0.373
214,682,261492.833,0.418
214,1514,486980.07,0.402
214,366,736658.414,0.153
215,1837,960571.005,0.937
215,658,469574.939,0.672
215,203,698227.668,0.823
215,267,602938.772,0.59
216,1429,988443.076,0.988
216,1131,555698.335,0.756
216,623,843322.673,0.51
217,341,784427.233,0.601
218,989,781516.06,0.766
218,935,228795.072,0.057
218,76,922687.405,0.557
218,1704,777592.406,0.377
219,664,550624.479,0.251
219,873,188953.913,0.681
219,1324,531797.439,0.826
220,439,190575.383,0.434
220,1001,549407.429,0.08
220,614,656744.977,0.333
220,1981,229148.05,0.989
220,77,816245.356,0.855
220,877,228468.565,0.802
221,1178,100090.824,0.87
221,1354,224301.408,0.498
222,1768,25252.297,0.312
222,145,344599.501,0.176
222,1353,63680.712,0.384
222,1653,531862.831,0.877
222,1098,319828.799,0.08
223,14,360853.794,0.501
223,1015,723994.154,0.612
223,605,307393.836,0.248
224,1648,928475.453,0.275
224,1828,119808.279,0.895
224,1525,908851.841,0.252
225,1231,183254.988,0.59
225,19,697185.542,0.38
225,319,968613.922,0.981
226,1446,893227.003,0.686
226,396,782009.085,0.411
226,1781,73294.978,0.491
226,689,411648.025,0.187
226,1953,872803.167,0.361
227,570,771825.058,0.582
228,1106,293227.349,0.59
228,1350,661871.728,0.723
229,1313,981073.409,0.085
229,1400,542934.647,0.524
230,986,316493.61,0.844
230,410,166150.727,0.223
230,43,799347.867,0.479
230,1419,183917.457,0.818
230,627,710085.157,0.275
230,1136,706701.321,0.909
231,680,507207.809,0.941
231,1598,511058.779,0.365
231,533,402796.294,0.752
231,1129,449531.811,0.318
232,991,103700.851,0.721
232,879,849261.047,0.274
232,418,29230.67,0.405
232,1299,706933.33,0.223
232,286,397759.469,0.801
233,1746,725815.311,0.548
233,1798,270148.519,0.481
233,715,296785.739,0.657
234,1438,732098.064,0.59
234,1967,35535.85,0.841
235,501,714592.729,0.78
235,1526,297994.149,0.467
235,101,219919.106,0.93
235,1792,174355.977,0.899
236,10,637395.332,0.205
236,22,580037.443,0.277
236,1492,721775.382,0.634
236,1229,137292.565,0.462
236,587,876943.782,0.1
236,1355,251478.545,0.654
237,1982,300633.391,0.674
237,1663,383617.952,0.254
237,1785,221226.579,0.54
237,1805,887230.271,0.646
237,1411,326297.995,0.616
237,367,79714.843,0.606
238,1071,484074.582,0.989
238,1841,548581.377,0.622
238,834,642721.903,0.629
239,1783,570167.105,0.073
239,699,173820.767,0.126
239,1158,998501.726,0.399
240,163,587448.855,0.064
241,1647,1643.906,0.984
241,356,688950.437,0.97
241,1629,357250.373,0.102
241,1430,852386.924,0.705
242,1705,487692.627,0.94
242,1004,608267.991,0.2
242,1686,784386.415,0.238
242,1530,602546.78,0.19
242,396,143528.02,0.9
243,214,21553.89,0.685
243,1668,360129.45,0.814
243,775,833529.735,0.561
244,214,665907.336,0.635
244,729,571261.152,0.762
244,1300,474192.469,0.068
244,1056,707395.178,0.82
244,1572,859900.874,0.207
244,966,662665.708,0.104
245,1967,777542.55,0.283
245,1687,817193.739,0.788
245,1901,456010.286,0.366
246,1914,59037.886,0.964
246,651,362347.321,0.402
247,1268,531518.401,0.64
247,390,567524.563,0.624
247,567,857224.258,0.723
247,865,953546.52,0.794
247,233,539978.001,0.728
248,337,642766.77,0.466
248,1713,536985.243,0.206
248,280,655173.482,0.184
249,168,462422.868,0.339
249,1684,247198.493,0.917
250,449,893122.97,0.614
250,1854,60445.287,0.156
250,815,527280.429,0.828
250,463,767627.355,0.643
251,264,120924.197,0.813
251,1561,202521.697,0.633
251,963,475316.718,0.971
251,1759,446068.02,0.394
252,1503,970702.278,0.806
252,923,148876.866,0.166
252,1479,10970.57,0.628
252,978,693755.101,0.9
252,153,681493.463,0.326
252,99,132396.808,0.756
253,1251,557398.31,0.959
253,1534,849897.264,0.854
253,290,263194.437,0.25
253,131,966922.185,0.554
254,338,109442.534,0.785
254,839,822286.887,0.095
255,1402,228555.034,0.885
255,1769,143450.379,0.391
255,812,683360.797,0.698
255,1278,845361.688,0.216
256,142,12912.042,0.853
257,1202,553706.791,0.774
258,1800,687198.192,0.258
258,452,233395.073,0.482
258,1563,520400.355,0.591
258,679,198329.184,0.536
259,23,127960.056,0.532
259,1400,601580.799,0.734
259,1641,110558.545,0.402
259,1930,76904.561,0.762
260,532,343647.438,0.241
260,724,571715.444,0.928
260,1002,955440.106,0.624
260,1748,92844.217,0.3
260,584,184721.239,0.431
260,422,653713.25,0.81
261,860,226162.836,0.804
261,409,827001.69,0.503
261,1804,723556.918,0.661
262,32,623928.503,0.563
263,1881,788117.598,0.585
264,577,342038.956,0.081
264,1119,551791.251,0.637
264,1579,529845.198,0.561
264,1937,963749.6,0.965
264,969,185039.662,0.722
264,708,357630.91,0.051
265,1460,745807.411,0.494
265,838,740247.576,0.626
265,1170,817550.676,0.705
265,1997,108871.523,0.2
265,1263,423709.288,0.562
265,1174,248348.071,0.935
266,792,522769.692,0.838
266,1114,152294.973,0.499
266,35,745959.593,0.753
267,46,694314.162,0.441
268,739,263536.407,0.613
269,1381,842514.199,0.71
269,1726,194017.617,0.71
269,658,797967.575,0.386
269,1171,638915.34,0.665
270,117,507222.826,0.433
271,1338,70627.567,0.171
271,994,582026.664,0.368
271,638,898809.824,0.901
271,1114,364754.914,0.553
271,780,76818.478,0.34
272,1543,890889.502,0.096
272,1375,693966.648,0.747
272,1772,944185.932,0.228
272,486,563056.47,0.194
272,938,944759.036,0.323
273,1592,225640.821,0.97
273,1428,587621.023,0.541
273,1502,916020.452,0.191
273,1398,164942.049,0.297
273,876,911221.544,0.958
274,967,746366.695,0.672
274,18,926869.568,0.514
274,239,788896.054,0.182
275,1990,915527.884,0.938
275,1077,939328.903,0.339
275,1094,941833.678,0.865
275,1069,255896.504,0.579
275,342,642031.335,0.825
275,1564,845265.923,0.136
276,945,161323.529,0.253
277,1341,728195.052,0.169
277,1007,832382.858,0.557
277,1171,354103.761,0.984
277,912,738722.138,0.279
277,1617,920673.661,0.614
277,560,677069.99,0.097
278,1323,505016.965,0.301
278,456,955640.699,0.451
278,1413,763939.376,0.853
278,1254,511039.61,0.827
278,1863,887828.127,0.317
279,1788,958259.376,0.904
279,974,571696.92,0.167
279,870,438284.06,0.158
279,632,38251.734,0.165
279,469,127167.973,0.519
280,1182,458156.265,0.763
281,712,340011.813,0.568
282,892,729785.16,0.622
283,212,531583.049,0.973
283,313,381609.907,0.432
283,830,612186.622,0.054
284,1466,322639.683,0.613
284,318,162573.446,0.539
284,866,932015.805,0.958
284,1478,178427.062,0.429
284,1610,622332.493,0.544
285,21,16608.941,0.157
285,555,464496.066,0.874
286,1013,871733.324,0.508
286,257,416919.146,0.356
286,739,150822.03,0.388
286,149,196015.536,0.269
286,589,755858.649,0.908
286,1160,518166.193,0.728
287,1529,176519.6,0.056
287,1516,833776.19,0.591
287,359,527116.294,0.849
287,147,423197.948,0.442
287,750,919212.546,0.431
287,71,414289.148,0.432
288,959,399927.084,0.099
288,1255,76524.292,0.666
288,1167,501754.918,0.379
289,1641,328518.756,0.577
289,1024,459265.683,0.875
289,1170,777987.568,0.281
289,490,972267.277,0.236
290,840,203349.572,0.234
290,832,264146.539,0.537
290,1649,352409.129,0.302
290,1740,599737.614,0.7
290,1631,185642.594,0.587
290,1354,554934.238,0.411
291,1394,794518.281,0.626
291,1445,370244.977,0.493
292,931,297417.969,0.438
292,854,824860.045,0.068
292,428,896035.042,0.252
293,1187,200228.51,0.743
293,1342,716762.106,0.577
294,398,109182.038,0.914
295,844,174610.754,0.625
295,1995,871276.542,0.79
296,1895,677024.223,0.169
297,204,396677.895,0.645
298,1966,890794.662,0.385
298,1429,474046.046,0.944
298,688,152510.496,0.801
299,1292,17149.668,0.864
299,1232,688566.049,0.657
300,138,752313.478,0.656
300,1767,913574.551,0.643
300,161,243936.511,0.989
300,798,512656.828,0.274
301,213,217092.59,0.089
301,1505,220771.204,0.202
301,529,917784.369,0.137
301,104,524165.91,0.925
302,1986,166640.886,0.227
302,1688,511440.765,0.341
303,1663,409385.735,0.486
303,1506,456043.056,0.846
303,145,311346.73,0.854
303,1319,118407.791,0.843
304,713,444001.104,0.371
