id_remate,id_lote,usuario,precio_final,fecha
56,23,breyes,17400,2024-03-12 14:37:00
57,11,tperez,17700,2024-03-12 14:55:00
58,35,ftorres,12100,2024-03-12 14:57:00
59,58,ftorres,15400,2024-03-12 15:12:00
60,60,ctapia,4400,2024-03-12 15:19:00
61,55,llopez,21300,2024-03-12 15:22:00
62,35,garaya,11600,2024-03-12 15:59:00
63,1,tperez,16300,2024-03-12 16:26:00
64,29,asepulveda,24400,2024-03-12 16:38:00
65,15,fgutierrez,6600,2024-03-12 16:56:00
66,50,ctapia,7900,2024-03-12 17:01:00
67,31,llopez,20700,2024-03-12 17:18:00
68,43,eflores,1300,2024-03-12 17:30:00
69,8,mespinoza,16600,2024-03-12 17:46:00
70,45,pvargas,8200,2024-03-12 18:03:00
71,41,pvargas,19800,2024-03-12 18:29:00
72,17,jsilva,14600,2024-03-12 18:46:00
73,33,ctapia,4900,2024-03-12 19:21:00
74,27,ddiaz,15800,2024-03-12 19:35:00
75,60,eflores,7400,2024-03-12 19:58:00
76,28,vmorales,18600,2024-03-12 20:38:00
77,3,mespinoza,14100,2024-03-12 21:17:00
78,25,asepulveda,1700,2024-03-12 21:57:00
79,14,mcontreras,14600,2024-03-12 22:11:00
80,21,mespinoza,14500,2024-03-12 22:39:00
81,17,jsilva,19400,2024-03-12 22:47:00
82,28,jhernandez,17500,2024-03-12 23:18:00
83,35,jsilva,12200,2024-03-12 23:52:00
84,57,jsilva,23800,2024-03-13 00:18:00
85,8,pvargas,21400,2024-03-13 00:29:00
86,15,icastro,3800,2024-03-13 00:44:00
87,22,breyes,16400,2024-03-13 00:55:00
88,30,mespinoza,14300,2024-03-13 01:08:00
89,57,eflores,21700,2024-03-13 01:37:00
90,25,pvargas,4000,2024-03-13 02:15:00
91,25,fgutierrez,6500,2024-03-13 02:36:00
92,5,ddiaz,23600,2024-03-13 03:16:00
93,41,ftorres,23100,2024-03-13 03:56:00
94,1,icastro,12200,2024-03-13 04:17:00
95,45,eflores,9500,2024-03-13 04:32:00
96,53,mespinoza,13200,2024-03-13 04:43:00
97,50,mfuentes,5100,2024-03-13 05:18:00
98,36,asepulveda,5600,2024-03-13 05:44:00
99,10,fgutierrez,18600,2024-03-13 05:46:00
100,20,garaya,9900,2024-03-13 06:15:00
101,37,mespinoza,11100,2024-03-13 06:28:00
102,21,icastro,18500,2024-03-13 06:48:00
103,12,jsilva,17200,2024-03-13 07:26:00
104,42,llopez,16100,2024-03-13 07:51:00
105,28,acastillo,18200,2024-03-13 08:10:00
106,33,asepulveda,6700,2024-03-13 08:50:00
107,4,acastillo,10900,2024-03-13 08:59:00
108,2,vmorales,16100,2024-03-13 09:35:00
109,32,acastillo,19500,2024-03-13 09:44:00
110,24,tperez,4500,2024-03-13 10:14:00
111,60,breyes,7000,2024-03-13 10:38:00
112,30,tperez,16900,2024-03-13 10:52:00
113,15,ddiaz,1700,2024-03-13 11:26:00
114,35,acastillo,11500,2024-03-13 11:52:00
115,35,mespinoza,12200,2024-03-13 12:09:00
116,54,rmunoz,17200,2024-03-13 12:34:00
117,4,eflores,13500,2024-03-13 12:38:00
118,20,ddiaz,9300,2024-03-13 13:05:00
119,15,irodriguez,2100,2024-03-13 13:37:00
120,19,crojas,6300,2024-03-13 13:48:00
121,18,breyes,20500,2024-03-13 13:57:00
122,23,breyes,17700,2024-03-13 14:34:00
123,51,ctapia,16400,2024-03-13 15:06:00
124,30,mespinoza,17400,2024-03-13 15:08:00
125,31,pvargas,19900,2024-03-13 15:22:00
126,34,crojas,20200,2024-03-13 15:39:00
127,51,mcontreras,19700,2024-03-13 15:52:00
128,49,rvalenzuela,7500,2024-03-13 16:20:00
129,11,rmunoz,15800,2024-03-13 16:23:00
130,35,bmartinez,7300,2024-03-13 17:02:00
131,47,acastillo,5800,2024-03-13 17:42:00
132,54,asepulveda,18600,2024-03-13 18:16:00
133,46,jsilva,11600,2024-03-13 18:33:00
134,32,garaya,19300,2024-03-13 19:08:00
135,30,bmartinez,16500,2024-03-13 19:42:00
136,47,vsoto,7600,2024-03-13 20:21:00
137,18,vmorales,21100,2024-03-13 20:55:00
138,38,ftorres,13600,2024-03-13 21:29:00
139,53,ftorres,14400,2024-03-13 22:06:00
140,33,ctapia,5300,2024-03-13 22:34:00
141,55,vmorales,22200,2024-03-13 23:03:00
142,35,rvalenzuela,8200,2024-03-13 23:41:00
143,60,ftorres,3900,2024-03-13 23:52:00
144,50,jsilva,6900,2024-03-14 00:08:00
145,58,ctapia,13800,2024-03-14 00:31:00
146,17,fgutierrez,18200,2024-03-14 00:59:00
147,20,eflores,9300,2024-03-14 01:30:00
148,38,irodriguez,11900,2024-03-14 01:58:00
149,59,fgutierrez,13500,2024-03-14 02:11:00
150,2,fgutierrez,14000,2024-03-14 02:47:00
151,13,jhernandez,10900,2024-03-14 03:10:00
152,54,mfuentes,18200,2024-03-14 03:45:00
153,58,bmartinez,13300,2024-03-14 03:47:00
154,2,crojas,11500,2024-03-14 04:12:00
155,3,mespinoza,14400,2024-03-14 04:26:00
156,23,irodriguez,15200,2024-03-14 04:53:00
157,54,eflores,17200,2024-03-14 05:25:00
158,6,mfuentes,18000,2024-03-14 05:35:00
159,36,irodriguez,8500,2024-03-14 05:44:00
160,1,bmartinez,11500,2024-03-14 06:04:00
161,59,acastillo,9400,2024-03-14 06:08:00
162,57,garaya,24600,2024-03-14 06:26:00
163,50,garaya,6300,2024-03-14 06:40:00
164,45,jsilva,10400,2024-03-14 07:09:00
165,50,mespinoza,10300,2024-03-14 07:15:00
166,41,garaya,23600,2024-03-14 07:26:00
167,6,rvalenzuela,14200,2024-03-14 07:32:00
168,48,breyes,9900,2024-03-14 07:38:00
169,32,crojas,20500,2024-03-14 07:59:00
170,43,mcontreras,4900,2024-03-14 08:27:00
171,44,crojas,12700,2024-03-14 08:29:00
172,2,mfuentes,13600,2024-03-14 08:36:00
173,23,rvalenzuela,17500,2024-03-14 08:39:00
174,53,llopez,14400,2024-03-14 09:15:00
175,18,jsilva,25500,2024-03-14 09:42:00
176,42,mespinoza,12900,2024-03-14 09:53:00
177,50,jhernandez,6000,2024-03-14 10:31:00
178,42,acastillo,14400,2024-03-14 11:03:00
179,13,fgutierrez,10000,2024-03-14 11:07:00
180,22,garaya,18400,2024-03-14 11:41:00
181,19,ddiaz,6100,2024-03-14 12:18:00
182,24,garaya,5100,2024-03-14 12:36:00
183,34,vsoto,19400,2024-03-14 12:45:00
184,11,fgutierrez,16800,2024-03-14 13:01:00
185,60,bmartinez,4600,2024-03-14 13:12:00
186,48,llopez,6900,2024-03-14 13:37:00
187,49,fgutierrez,10000,2024-03-14 13:53:00
188,34,irodriguez,23300,2024-03-14 13:58:00
189,53,breyes,17300,2024-03-14 14:28:00
190,55,irodriguez,20900,2024-03-14 14:30:00
191,48,breyes,10500,2024-03-14 14:59:00
192,4,asepulveda,8800,2024-03-14 15:24:00
193,22,rmunoz,17300,2024-03-14 15:30:00
194,32,llopez,19400,2024-03-14 15:36:00
195,24,ddiaz,3600,2024-03-14 16:10:00
196,52,garaya,14900,2024-03-14 16:31:00
197,38,mfuentes,10300,2024-03-14 16:58:00
198,22,mfuentes,16400,2024-03-14 17:18:00
199,36,ftorres,10300,2024-03-14 17:49:00
200,49,crojas,7400,2024-03-14 18:13:00
201,10,mfuentes,22300,2024-03-14 18:45:00
202,24,asepulveda,4300,2024-03-14 19:09:00
203,22,mespinoza,14500,2024-03-14 19:27:00
204,18,crojas,24000,2024-03-14 19:29:00
205,21,pvargas,19700,2024-03-14 19:58:00
206,35,jsilva,9400,2024-03-14 20:20:00
207,36,jsilva,8700,2024-03-14 20:40:00
208,32,jsilva,22600,2024-03-14 20:55:00
209,7,crojas,6900,2024-03-14 21:18:00
210,36,ddiaz,8500,2024-03-14 21:56:00
211,8,ftorres,17400,2024-03-14 22:35:00
212,35,fgutierrez,7200,2024-03-14 22:51:00
213,52,mespinoza,16800,2024-03-14 23:13:00
214,1,bmartinez,10700,2024-03-14 23:51:00
215,3,mfuentes,13000,2024-03-14 23:54:00
216,30,jsilva,19000,2024-03-15 00:29:00
217,3,asepulveda,16500,2024-03-15 00:35:00
218,47,eflores,6900,2024-03-15 01:09:00
219,40,vmorales,16200,2024-03-15 01:48:00
220,45,asepulveda,5400,2024-03-15 02:23:00
221,21,vsoto,14800,2024-03-15 02:25:00
222,35,breyes,12800,2024-03-15 03:05:00
223,35,asepulveda,12800,2024-03-15 03:42:00
224,10,mcontreras,19100,2024-03-15 04:07:00
225,19,fgutierrez,4000,2024-03-15 04:43:00
226,45,tperez,10100,2024-03-15 04:48:00
227,50,bmartinez,7600,2024-03-15 04:51:00
228,24,vsoto,5100,2024-03-15 05:30:00
229,32,acastillo,24500,2024-03-15 05:55:00
230,24,icastro,6300,2024-03-15 06:19:00
231,34,rvalenzuela,21900,2024-03-15 06:25:00
232,55,ddiaz,23300,2024-03-15 06:59:00
233,10,mespinoza,20000,2024-03-15 07:04:00
234,43,mcontreras,4500,2024-03-15 07:17:00
235,50,llopez,5200,2024-03-15 07:49:00
236,21,vmorales,16600,2024-03-15 07:55:00
237,28,tperez,16600,2024-03-15 08:02:00
238,26,jsilva,11600,2024-03-15 08:04:00
239,24,ftorres,3100,2024-03-15 08:06:00
240,18,rmunoz,19900,2024-03-15 08:11:00
241,8,ddiaz,21500,2024-03-15 08:44:00
242,55,vmorales,25200,2024-03-15 08:58:00
243,45,acastillo,11000,2024-03-15 09:23:00
244,19,acastillo,5200,2024-03-15 09:39:00
245,15,ctapia,2100,2024-03-15 10:05:00
246,42,rvalenzuela,13500,2024-03-15 10:16:00
247,9,mfuentes,6000,2024-03-15 10:53:00
248,34,llopez,21500,2024-03-15 10:57:00
249,7,mcontreras,6900,2024-03-15 11:18:00
250,32,mcontreras,19300,2024-03-15 11:28:00
