genero,plataforma,idioma,dia_lanzamiento,anno_lanzamiento,duracion_seg,tempo_bpm,energia,valencia,bailabilidad,instrumentalidad,loudness_db,popularidad_artista,num_colaboraciones,semanas_en_charts,reproducciones_millones,gastos_produccion_usd,sello_discografico,streams_categoria
Rock,Apple Music,Espanol,Jueves,2023,147,102,0.484,0.466,0.453,0.072,-14.4,52,1,30,10.14,,Sony,2
Reggaeton,YouTube Music,Espanol,Martes,2012,141,110,0.503,0.43,0.286,0.361,-9.8,47,1,48,1.29,223770.0,Sony,0
Hip-Hop,Spotify,Ingles,Jueves,2023,225,161,0.335,0.321,0.458,0.363,-9.9,51,1,10,0.22,429220.0,Warner,1
Rock,YouTube Music,Espanol,Miercoles,2014,221,149,0.209,0.969,0.783,0.184,<null>,18,1,32,5.47,472213.0,Sony,0
Electronica,Spotify,Coreano,Domingo,2020,129,147,0.218,0.709,0.427,0.342,-7.3,28,1,33,0.38,249777.0,Universal,0
Pop,YouTube Music,Ingles,Viernes,2024,198,107,0.741,0.286,0.567,0.05,-17.2,41,0,46,2.08,287190.0,Warner,1
Rock,Spotify,Ingles,Sabado,2013,228,118,0.622,0.15,0.682,0.161,-5.9,35,0,40,0.7,192346.0,Universal,0
Hip-Hop,YouTube Music,Ingles,Jueves,2018,220,109,0.452,0.893,0.528,0.024,-9.2,69,0,33,5.0,358356.0,Independiente,1
Hip-Hop,Spotify,Portugues,Miercoles,2011,217,94,0.737,0.269,0.715,0.005,-11.3,56,0,17,3.65,253660.0,Universal,2
Metal,Tidal,Ingles,Sabado,2019,199,117,0.912,0.532,0.483,0.125,-6.7,60,0,48,3.18,113891.0,Sony,0
Pop,Spotify,Espanol,Martes,2022,252,123,0.807,0.5,0.492,<null>,-6.1,54,2,47,1.16,490987.0,Independiente,2
Reggaeton,YouTube Music,Portugues,Viernes,2020,216,140,0.684,0.296,0.65,0.069,-10.7,42,1,38,2.63,438724.0,Warner,1
Reggaeton,Apple Music,Espanol,Jueves,2021,255,120,0.281,0.693,0.748,0.236,1.1,74,0,17,6.7,23186.0,Sony,0
Pop,Spotify,Espanol,Jueves,2022,211,70,0.574,0.663,0.562,0.088,-2.3,38,1,3,28.52,159257.0,Sony,3
Electronica,YouTube Music,Ingles,Sabado,2014,164,100,0.431,0.864,0.57,0.069,1.1,46,2,27,4.58,254143.0,Universal,0
Pop,Deezer,Espanol,Domingo,2016,216,107,0.498,0.479,0.721,0.157,-13.0,80,0,24,4.21,80770.0,Universal,1
Pop,Spotify,Coreano,Domingo,2013,156,84,0.593,0.735,0.744,0.043,-1.5,16,1,7,20.89,293341.0,Independiente,3
Cumbia,Tidal,Ingles,Viernes,2010,227,106,0.9,0.324,0.798,0.072,<null>,99,2,24,0.78,357075.0,Warner,2
Cumbia,YouTube Music,Coreano,Domingo,2012,286,136,0.898,0.528,0.562,0.031,-14.4,44,1,18,5.59,221386.0,Universal,1
Clasica,YouTube Music,Espanol,Jueves,2022,212,107,0.472,0.147,0.778,0.324,-5.8,58,0,23,9.17,371680.0,Independiente,1
Rock,Spotify,Coreano,Viernes,2019,206,132,0.725,0.221,0.455,0.153,-6.9,41,0,45,10.48,449849.0,,1
Pop,Apple Music,Espanol,Domingo,2014,246,119,0.514,0.382,0.456,0.362,-14.0,100,0,27,4.07,433496.0,Universal,1
Jazz,Tidal,Espanol,Miercoles,2018,220,136,0.533,0.314,0.466,0.193,-15.2,37,0,49,18.1,420670.0,Universal,2
Hip-Hop,Apple Music,Espanol,Viernes,2023,305,89,0.127,0.087,0.776,0.026,-11.3,0,1,11,0.42,248815.0,Universal,0
Pop,Apple Music,Ingles,Martes,2021,208,127,0.885,0.29,0.26,0.178,<null>,62,0,19,0.93,116787.0,Independiente,0
Reggaeton,Spotify,Espanol,Viernes,2013,222,104,0.361,0.4,0.738,0.001,-6.1,8,1,49,2.06,157624.0,Warner,0
Pop,Spotify,Ingles,Sabado,2014,251,143,0.55,0.843,0.713,0.118,-1.3,17,0,44,14.01,475275.0,Sony,3
Cumbia,YouTube Music,Espanol,Jueves,2015,151,92,0.414,0.443,0.64,0.273,-10.7,19,1,4,2.42,283234.0,Sony,0
Rock,YouTube Music,Espanol,Sabado,2012,238,139,0.858,0.679,0.4,0.471,-14.9,18,0,45,19.86,161621.0,,2
Electronica,Apple Music,Ingles,Viernes,2013,192,118,0.291,0.829,0.528,0.08,-5.2,20,1,16,6.62,258006.0,Independiente,0
Rock,Spotify,Espanol,Viernes,2024,197,124,0.326,0.785,0.244,0.021,-7.1,23,0,33,0.87,100838.0,Universal,0
Reggaeton,Apple Music,Portugues,Viernes,2019,240,120,0.503,0.716,0.783,0.013,-5.7,64,0,32,8.07,,Universal,2
Reggaeton,Spotify,Ingles,Martes,2015,182,82,0.555,0.781,0.454,0.018,-9.9,4,1,36,7.02,136555.0,Independiente,1
Pop,Apple Music,Frances,Sabado,2011,200,130,0.574,0.698,0.804,0.203,-14.2,31,0,37,13.16,136694.0,Warner,2
Cumbia,Tidal,Ingles,Martes,2019,203,114,0.267,0.645,0.441,0.028,-11.5,46,0,11,6.12,113698.0,Independiente,0
Metal,YouTube Music,Coreano,Jueves,2014,206,144,0.107,0.483,0.499,0.032,-9.7,32,0,0,3.66,57502.0,Universal,0
Cumbia,Spotify,Ingles,Sabado,2013,182,129,0.799,0.66,0.536,0.155,-9.5,80,0,22,1.38,12266.0,Universal,0
R&B,Tidal,Coreano,Jueves,2010,232,135,0.382,0.456,0.381,0.036,-6.0,23,1,1,17.62,,Independiente,0
Reggaeton,Apple Music,Espanol,Viernes,2013,162,114,0.386,0.324,0.863,<null>,<null>,51,2,32,8.89,199079.0,Sony,2
Cumbia,YouTube Music,Ingles,Lunes,2023,134,129,0.188,0.227,0.694,0.4,-9.9,92,0,34,1.36,168580.0,,2
Pop,Spotify,Portugues,Sabado,2010,198,133,0.583,0.482,0.596,0.197,-11.2,52,0,16,7.79,330029.0,Independiente,1
Pop,YouTube Music,Espanol,Miercoles,2017,231,139,0.678,0.797,0.448,0.021,-13.3,64,0,28,13.41,70683.0,Warner,2
Pop,Spotify,Ingles,Viernes,2019,232,135,0.055,0.608,0.93,0.183,-13.8,68,0,31,3.77,83505.0,Warner,2
Rock,Apple Music,Portugues,Domingo,2011,222,142,0.494,0.122,0.92,0.065,-5.3,66,0,11,0.33,74970.0,Independiente,0
Hip-Hop,Spotify,Ingles,Domingo,2016,196,103,0.562,0.217,0.437,0.107,-5.8,93,1,7,0.76,434509.0,Sony,1
Rock,Spotify,Espanol,Miercoles,2015,226,116,0.428,0.561,0.35,0.08,-7.5,55,1,11,16.79,70608.0,Universal,2
Clasica,Spotify,Ingles,Martes,2012,204,110,0.87,0.444,0.61,<null>,-10.3,34,0,46,4.01,440314.0,Sony,1
Hip-Hop,Spotify,Espanol,Jueves,2017,207,126,0.753,0.507,0.519,0.228,-12.9,35,0,38,6.87,308332.0,Universal,1
Rock,Spotify,Portugues,Lunes,2023,108,113,0.608,0.855,0.582,0.136,-6.1,30,0,0,6.16,274514.0,Warner,0
Reggaeton,YouTube Music,Espanol,Domingo,2021,192,103,0.672,0.583,0.376,0.128,-2.5,74,1,40,0.97,330068.0,Independiente,1
Pop,Spotify,Espanol,Jueves,2014,131,107,0.852,0.465,0.71,0.027,-8.5,16,1,47,2.72,332816.0,Warner,2
Clasica,YouTube Music,Espanol,Martes,2024,294,115,0.514,0.73,0.664,0.203,-9.2,9,1,32,3.94,224950.0,Independiente,0
Pop,Spotify,Ingles,Viernes,2014,244,112,0.883,0.625,0.497,0.575,-4.0,84,0,9,20.52,335360.0,Universal,3
Cumbia,Deezer,Coreano,Martes,2023,257,99,0.741,0.762,0.397,0.366,<null>,41,0,37,0.45,,Universal,0
Metal,Deezer,Espanol,Lunes,2015,189,117,0.605,0.362,0.159,0.078,-3.0,81,1,25,11.87,80714.0,Universal,2
Pop,Spotify,Espanol,Viernes,2011,206,120,0.94,0.594,0.686,0.268,-1.1,91,2,46,3.48,,Sony,3
Pop,YouTube Music,Ingles,Sabado,2013,158,104,0.666,0.404,0.985,0.077,-11.3,76,0,3,11.34,422777.0,Independiente,2
Clasica,Spotify,Portugues,Domingo,2016,163,107,0.306,0.721,0.873,0.105,-7.3,19,3,5,1.28,,Independiente,0
Jazz,Deezer,Ingles,Viernes,2018,199,145,0.675,0.423,0.546,0.064,-3.2,60,0,27,7.86,235164.0,Warner,1
Jazz,Apple Music,Espanol,Lunes,2020,187,84,0.376,0.859,0.29,0.094,-5.9,87,0,9,1.08,424880.0,Universal,0
Metal,Spotify,Ingles,Domingo,2013,228,120,0.918,0.194,0.261,0.041,-4.9,85,0,14,15.75,132164.0,Independiente,1
Pop,Spotify,Espanol,Jueves,2023,225,151,0.383,0.368,0.252,0.014,-3.3,39,1,16,1.89,93958.0,Universal,0
Hip-Hop,Spotify,Ingles,Viernes,2021,194,112,0.364,0.536,0.519,0.31,-13.2,99,1,17,4.35,80536.0,Warner,2
Pop,Spotify,Espanol,Jueves,2024,243,135,0.254,0.643,0.781,0.169,-9.5,74,0,5,4.82,240694.0,Independiente,2
R&B,YouTube Music,Portugues,Miercoles,2014,163,86,0.706,0.86,0.148,0.608,-1.2,95,0,43,2.42,390808.0,Universal,0
Electronica,Apple Music,Coreano,Lunes,2017,159,82,0.722,0.291,0.466,0.167,-7.7,96,0,18,4.28,35417.0,Sony,1
Rock,Spotify,Portugues,Miercoles,2020,230,117,0.565,0.226,0.77,0.243,-6.9,76,0,36,23.13,139699.0,Independiente,3
Pop,Spotify,Ingles,Viernes,2015,231,100,0.637,0.533,0.626,0.003,-8.2,35,2,50,6.34,271310.0,Independiente,3
Rock,Spotify,Ingles,Lunes,2022,243,130,0.825,0.256,0.368,0.137,-6.6,5,1,10,0.14,46696.0,Warner,0
Rock,Spotify,Espanol,Viernes,2013,152,125,0.402,0.677,0.614,0.152,<null>,43,1,28,17.57,416504.0,Universal,1
Jazz,YouTube Music,Ingles,Domingo,2012,176,154,0.773,0.605,0.294,0.026,-5.7,84,2,18,1.17,211743.0,Sony,0
Electronica,Spotify,Ingles,Lunes,2023,222,132,0.899,0.377,0.421,0.114,<null>,62,0,26,10.55,187600.0,Independiente,2
R&B,Apple Music,Frances,Jueves,2015,222,114,0.703,0.156,0.465,0.118,<null>,2,1,9,4.86,178796.0,Independiente,0
Reggaeton,Spotify,Espanol,Martes,2022,285,128,0.562,0.362,0.439,0.101,-7.6,73,0,3,1.44,344759.0,Independiente,0
Pop,Spotify,Portugues,Sabado,2013,169,115,0.357,0.734,0.403,0.027,-4.6,76,0,5,3.33,375347.0,Independiente,0
Jazz,YouTube Music,Ingles,Martes,2014,295,91,0.931,0.349,0.635,0.091,-5.6,59,1,2,12.14,79739.0,Universal,1
Metal,Apple Music,Espanol,Lunes,2011,230,133,0.527,0.93,0.941,0.009,-17.0,83,0,2,5.95,16875.0,Warner,1
Reggaeton,Apple Music,Ingles,Domingo,2015,256,128,0.526,0.436,0.673,0.207,-11.5,76,1,40,6.44,,Independiente,2
Metal,Apple Music,Coreano,Miercoles,2012,234,103,0.607,0.548,0.701,0.119,-11.6,38,1,39,4.82,356670.0,Sony,1
Reggaeton,Apple Music,Frances,Lunes,2019,180,149,0.825,0.284,0.576,0.146,-7.0,54,0,9,11.54,299765.0,Independiente,1
Reggaeton,Spotify,Ingles,Jueves,2016,187,104,0.36,0.443,0.748,<null>,-5.4,8,1,14,21.7,418899.0,Sony,2
Hip-Hop,Apple Music,Espanol,Sabado,2022,210,154,0.304,0.593,0.435,0.215,<null>,21,3,15,7.06,318503.0,Sony,0
Pop,YouTube Music,Frances,Miercoles,2013,149,115,0.929,0.759,0.451,0.102,-7.7,15,1,49,29.71,150623.0,Universal,3
Pop,Spotify,Ingles,Lunes,2023,144,84,0.603,0.767,0.883,0.065,-9.3,100,0,21,7.34,376893.0,Sony,3
Pop,Apple Music,Espanol,Domingo,2015,185,155,0.44,0.765,0.612,0.267,-7.2,79,1,24,14.04,85085.0,Independiente,2
Electronica,Spotify,Espanol,Sabado,2010,238,139,0.874,0.594,0.797,0.173,-4.1,50,0,1,6.04,176611.0,Universal,2
Rock,Spotify,Espanol,Sabado,2013,183,137,0.413,0.555,0.584,0.388,-3.7,19,1,44,22.31,402773.0,Universal,3
Reggaeton,Apple Music,Espanol,Domingo,2012,207,65,0.551,0.498,0.746,0.187,<null>,87,1,6,12.08,210405.0,Universal,2
Cumbia,Tidal,Portugues,Lunes,2018,204,75,0.678,0.81,0.359,0.135,1.8,100,0,36,2.96,193128.0,,1
Rock,Tidal,Espanol,Viernes,2016,250,138,0.938,0.622,0.975,0.118,-1.4,95,0,12,1.65,,Sony,2
Hip-Hop,Spotify,Espanol,Jueves,2022,226,139,0.517,0.538,0.613,0.052,-6.0,17,0,7,3.57,53682.0,,0
Metal,Apple Music,Ingles,Jueves,2019,244,89,0.316,0.374,0.273,0.168,-5.4,71,0,36,0.79,,Independiente,0
Rock,Apple Music,Ingles,Domingo,2015,256,126,0.719,0.554,0.531,<null>,-11.6,48,0,29,9.37,245459.0,Warner,1
Pop,Spotify,Espanol,Martes,2011,170,116,0.235,0.865,0.831,0.157,-10.3,17,0,28,1.09,52300.0,Independiente,1
Rock,YouTube Music,Espanol,Viernes,2021,126,94,0.959,0.443,0.455,0.17,-8.0,96,0,35,9.9,448766.0,Independiente,2
Pop,YouTube Music,Espanol,Domingo,2012,193,108,0.266,0.311,0.838,0.198,-11.5,80,0,4,2.99,449564.0,Warner,1
Cumbia,Tidal,Ingles,Miercoles,2018,255,155,0.142,0.382,0.499,0.059,-4.9,88,1,5,2.79,319950.0,Independiente,0
Clasica,Spotify,Espanol,Sabado,2012,237,100,0.542,0.859,0.64,0.059,-10.2,3,1,14,1.92,355918.0,Universal,0
Electronica,Spotify,Ingles,Martes,2015,194,83,0.137,0.699,0.693,0.271,-5.9,23,0,30,4.52,413786.0,Universal,0
R&B,YouTube Music,Espanol,Jueves,2011,286,108,0.741,0.515,0.43,0.044,-11.5,96,0,8,10.87,331036.0,Warner,1
Clasica,YouTube Music,Espanol,Lunes,2014,241,60,0.361,0.536,0.438,0.059,-8.5,97,2,3,3.18,254269.0,Independiente,0
Pop,Tidal,Ingles,Viernes,2018,185,112,0.827,0.642,0.875,0.09,0.7,11,0,48,6.33,78098.0,Independiente,0
R&B,Spotify,Espanol,Jueves,2010,256,85,0.637,0.149,0.559,0.102,-1.0,29,2,12,0.05,127306.0,Universal,0
Reggaeton,Apple Music,Espanol,Jueves,2014,146,96,0.56,0.734,0.636,0.048,-2.3,100,0,46,15.56,485708.0,Sony,3
Clasica,Apple Music,Espanol,Viernes,2010,223,123,0.483,0.839,0.656,0.299,-7.9,76,2,15,2.87,305281.0,Sony,0
R&B,Spotify,Espanol,Jueves,2016,188,87,0.808,0.779,0.556,0.029,-6.6,65,0,12,23.26,489840.0,Universal,3
Rock,Apple Music,Ingles,Martes,2022,207,97,0.89,0.461,0.45,0.076,-10.3,64,0,37,9.95,394424.0,Sony,1
Pop,YouTube Music,Espanol,Domingo,2015,234,148,0.589,0.365,0.443,0.03,-7.9,89,0,15,6.4,127214.0,Sony,1
Rock,Spotify,Frances,Viernes,2016,247,121,0.762,0.651,0.716,0.06,-9.2,64,0,6,21.9,,Sony,3
Hip-Hop,Spotify,Portugues,Jueves,2011,214,123,0.778,0.611,0.731,0.119,-8.0,67,0,45,4.09,427801.0,Independiente,2
Clasica,YouTube Music,Portugues,Jueves,2012,201,130,0.839,0.441,0.951,0.327,-4.9,97,0,25,4.67,253009.0,Sony,2
R&B,Apple Music,Espanol,Viernes,2022,141,118,0.687,0.302,0.51,0.111,<null>,34,0,27,20.83,262733.0,,1
Pop,Tidal,Portugues,Lunes,2019,147,137,0.893,0.782,0.667,0.127,<null>,17,0,20,3.29,314489.0,Sony,0
Reggaeton,Spotify,Espanol,Miercoles,2022,107,129,0.647,0.894,0.457,0.103,-4.8,19,2,41,5.47,191801.0,Independiente,1
Hip-Hop,Spotify,Espanol,Viernes,2017,216,96,0.912,0.229,0.921,0.529,<null>,84,1,31,1.66,,Universal,3
Rock,Deezer,Espanol,Lunes,2015,246,126,0.828,0.489,0.872,0.544,-6.1,63,0,15,9.16,17419.0,Independiente,1
Pop,Tidal,Coreano,Sabado,2017,114,86,0.529,0.263,0.603,0.139,-11.3,95,0,49,19.13,81131.0,Independiente,3
Rock,Spotify,Espanol,Jueves,2023,252,62,0.541,0.131,0.62,0.127,<null>,87,0,25,7.5,498007.0,Universal,1
Cumbia,YouTube Music,Frances,Martes,2018,265,144,0.743,0.536,0.332,0.08,-3.1,88,1,42,28.64,148203.0,Universal,3
Rock,Spotify,Espanol,Sabado,2014,217,115,0.619,0.71,0.177,<null>,-11.7,18,0,23,6.62,416388.0,Universal,0
Reggaeton,Spotify,Frances,Domingo,2023,271,140,0.354,0.535,0.77,0.089,-6.6,41,0,23,4.2,137760.0,Warner,0
Jazz,Spotify,Frances,Jueves,2021,208,117,0.303,0.299,0.866,0.252,-13.6,89,2,47,1.08,6344.0,Warner,2
Hip-Hop,Spotify,Coreano,Jueves,2010,159,130,0.315,0.263,0.542,0.018,-4.2,19,1,6,8.45,109350.0,Independiente,0
Cumbia,YouTube Music,Ingles,Sabado,2023,196,142,0.463,0.495,0.292,<null>,-7.3,27,0,46,39.39,45244.0,Universal,3
Cumbia,YouTube Music,Frances,Lunes,2013,274,88,0.711,0.736,0.666,0.011,-8.0,3,2,51,4.91,248618.0,Universal,1
Rock,Deezer,Coreano,Viernes,2020,185,126,0.338,0.297,0.275,0.196,-6.8,64,0,34,1.62,84956.0,Universal,0
Reggaeton,YouTube Music,Espanol,Miercoles,2021,226,131,0.442,0.549,0.434,0.081,-7.0,99,2,25,10.76,444552.0,Sony,2
Rock,Apple Music,Ingles,Miercoles,2021,231,130,0.878,0.081,0.515,0.319,-11.9,5,1,11,2.67,89933.0,Universal,0
Rock,YouTube Music,Ingles,Viernes,2010,257,87,0.441,0.757,0.765,0.5,-2.9,30,0,42,8.83,281527.0,Universal,1
Pop,Deezer,Espanol,Domingo,2014,135,116,0.391,0.341,0.922,0.051,-5.2,46,0,34,18.39,295623.0,Universal,2
Electronica,YouTube Music,Portugues,Viernes,2017,265,132,0.546,0.369,0.644,0.069,-9.8,88,2,1,4.76,363253.0,Independiente,0
Reggaeton,YouTube Music,Espanol,Martes,2016,172,130,0.915,0.395,0.925,0.331,<null>,24,2,50,1.16,421198.0,Universal,2
Pop,Deezer,Ingles,Viernes,2021,270,153,0.874,0.445,0.938,0.326,-10.2,51,1,47,1.34,471189.0,Sony,0
Rock,Spotify,Espanol,Domingo,2023,195,130,0.532,0.409,0.442,0.096,-8.9,57,1,35,8.86,490339.0,Warner,2
Cumbia,YouTube Music,Espanol,Martes,2014,195,103,0.929,0.455,0.629,0.077,-3.3,10,0,42,2.22,453837.0,Warner,0
Rock,Tidal,Espanol,Viernes,2016,240,137,0.802,0.78,0.613,<null>,-2.9,13,1,22,16.28,87379.0,Independiente,0
Pop,Deezer,Portugues,Domingo,2013,262,137,0.678,0.586,0.903,0.064,-8.1,35,1,13,40.48,303929.0,Universal,3
Reggaeton,Spotify,Espanol,Domingo,2010,191,97,0.713,0.563,0.689,0.244,-6.0,9,2,4,5.52,220858.0,Independiente,1
Cumbia,Apple Music,Portugues,Martes,2015,198,169,0.679,0.752,0.935,0.216,-4.3,5,0,0,1.76,389661.0,Independiente,0
Rock,YouTube Music,Portugues,Viernes,2014,185,169,0.504,0.878,0.565,0.261,-5.0,62,2,21,0.05,179133.0,Universal,0
Electronica,Spotify,Ingles,Viernes,2020,186,106,0.089,0.779,0.384,0.51,-2.4,79,0,25,14.73,257590.0,Sony,1
Metal,YouTube Music,Espanol,Miercoles,2021,229,87,0.221,0.689,0.182,0.043,-8.1,45,1,36,1.63,24915.0,Warner,0
Rock,Spotify,Espanol,Jueves,2012,206,95,0.801,0.238,0.756,0.683,-0.4,66,1,22,3.2,142093.0,Universal,2
Jazz,Spotify,Ingles,Jueves,2012,260,92,0.541,0.757,0.805,0.168,-0.6,8,1,4,7.61,332632.0,,1
Hip-Hop,Apple Music,Espanol,Martes,2019,182,88,0.922,0.194,0.415,0.255,-3.0,7,0,21,0.13,465363.0,Independiente,0
Electronica,Apple Music,Ingles,Lunes,2016,240,104,0.756,0.654,0.806,0.204,-5.1,63,0,34,14.68,463126.0,Sony,1
Electronica,Apple Music,Coreano,Sabado,2011,238,93,0.235,0.71,0.533,0.306,-9.2,44,0,21,7.55,404784.0,,0
Reggaeton,Apple Music,Espanol,Miercoles,2015,198,150,0.41,0.725,0.785,0.178,-11.8,68,1,18,28.17,105963.0,Universal,3
Pop,Spotify,Ingles,Viernes,2021,199,83,0.707,0.452,0.841,0.001,-3.7,78,0,46,3.52,415958.0,,3
R&B,Spotify,Coreano,Miercoles,2017,229,124,0.51,0.802,0.938,0.04,-3.1,19,0,7,12.27,310293.0,Universal,1
Rock,Spotify,Frances,Lunes,2014,182,111,0.552,0.568,0.548,0.151,-12.0,24,0,32,9.69,139701.0,Independiente,2
Pop,Spotify,Frances,Miercoles,2018,195,126,0.77,0.551,0.753,0.147,-8.8,60,0,46,1.85,477117.0,Warner,2
Pop,Apple Music,Portugues,Lunes,2013,157,115,0.544,0.514,0.84,0.053,-4.3,85,0,5,51.87,42580.0,Universal,3
Reggaeton,YouTube Music,Espanol,Sabado,2017,173,120,0.543,0.806,0.525,0.272,-7.5,100,0,29,12.03,25430.0,,2
Electronica,Spotify,Frances,Lunes,2023,168,143,0.766,0.6,0.514,0.22,-9.1,45,1,3,30.28,246346.0,Warner,3
Pop,Spotify,Coreano,Lunes,2010,172,106,0.255,0.272,0.79,0.023,-10.2,24,0,41,10.12,32492.0,,1
Reggaeton,YouTube Music,Ingles,Domingo,2021,139,85,0.934,0.646,0.883,0.061,-6.9,94,0,45,10.72,54791.0,Warner,3
Rock,Spotify,Ingles,Lunes,2013,143,117,0.413,0.13,0.399,0.112,-6.9,47,0,50,9.25,215974.0,Warner,3
Electronica,Deezer,Ingles,Lunes,2022,244,101,0.394,0.387,0.796,0.142,-7.5,26,3,28,2.82,405411.0,Warner,0
Pop,YouTube Music,Espanol,Viernes,2012,204,125,0.636,0.131,0.692,0.292,-7.3,29,0,9,10.25,109775.0,Universal,0
Jazz,Spotify,Espanol,Miercoles,2013,259,104,0.825,0.547,0.875,0.093,-9.5,6,2,43,5.64,455017.0,Warner,1
Hip-Hop,Spotify,Ingles,Jueves,2024,251,101,0.535,0.438,0.37,0.105,-14.5,64,0,5,0.8,418189.0,,0
Cumbia,Apple Music,Ingles,Jueves,2018,191,144,0.789,0.85,0.638,0.011,-12.4,82,0,14,1.21,247451.0,Independiente,0
Pop,Spotify,Ingles,Viernes,2023,172,161,0.676,0.497,0.98,0.178,-15.2,20,0,28,6.99,218213.0,Warner,2
Rock,Spotify,Espanol,Martes,2011,216,99,0.939,0.536,0.551,0.006,-5.8,5,0,30,3.87,262281.0,Independiente,0
Pop,Spotify,Portugues,Sabado,2014,192,118,0.894,0.646,0.465,0.127,-9.1,39,0,5,3.81,471120.0,,2
Cumbia,YouTube Music,Espanol,Domingo,2019,235,109,0.501,0.716,0.769,0.579,-8.3,20,0,16,1.06,473318.0,Independiente,0
R&B,Apple Music,Espanol,Lunes,2015,130,124,0.615,0.568,0.573,0.183,-3.9,46,0,38,3.97,,Universal,1
Rock,Spotify,Ingles,Miercoles,2013,223,110,0.591,0.94,0.618,0.053,-6.4,72,0,15,1.87,420249.0,Warner,1
Electronica,YouTube Music,Ingles,Lunes,2017,273,131,0.799,0.337,0.802,0.052,-5.4,5,0,28,34.45,189403.0,Independiente,3
Clasica,Apple Music,Espanol,Domingo,2024,194,97,0.691,0.229,0.494,<null>,-6.3,95,1,30,19.6,89155.0,Universal,3
Reggaeton,Apple Music,Ingles,Lunes,2012,234,142,0.561,0.513,0.865,0.128,-8.4,8,1,0,14.9,174950.0,Universal,0
Reggaeton,Spotify,Portugues,Jueves,2019,160,114,0.917,0.68,0.68,<null>,<null>,34,0,25,20.34,,Independiente,3
Rock,Apple Music,Ingles,Lunes,2015,185,154,0.864,0.285,0.708,0.077,-3.6,67,0,17,10.31,476859.0,,2
Pop,Deezer,Ingles,Domingo,2018,174,154,0.656,0.31,0.811,0.03,-0.6,4,1,0,7.85,,Independiente,0
R&B,Spotify,Espanol,Miercoles,2021,271,122,0.68,0.274,0.656,0.332,0.8,55,1,50,2.13,59642.0,Universal,2
Cumbia,Spotify,Ingles,Miercoles,2019,288,109,0.657,0.6,0.635,0.399,-1.8,82,1,6,9.47,259521.0,Independiente,2
Electronica,Spotify,Frances,Jueves,2020,190,105,0.51,0.823,0.839,0.045,-5.3,7,1,24,9.93,467160.0,Universal,1
Rock,Spotify,Ingles,Viernes,2024,262,126,0.535,0.143,0.703,0.304,-11.1,2,0,20,3.24,112913.0,Independiente,0
Rock,Spotify,Portugues,Jueves,2022,233,128,0.445,0.835,0.627,0.08,-6.4,51,0,38,8.22,31985.0,Sony,0
Jazz,YouTube Music,Ingles,Jueves,2018,194,109,0.388,0.552,0.706,0.051,-9.4,24,0,28,1.09,78972.0,Independiente,0
R&B,Tidal,Ingles,Domingo,2020,273,100,0.121,0.468,0.368,0.098,-3.3,76,0,5,11.87,364686.0,Universal,0
