id_equipo,patente_nave,id_astronauta,rango
53,N-053,528,5
53,N-053,552,3
53,N-053,565,1
54,N-054,22,1
54,N-054,215,3
54,N-054,241,3
54,N-054,344,3
54,N-054,352,5
54,N-054,381,5
55,N-055,50,4
55,N-055,243,1
56,N-056,52,3
56,N-056,162,1
56,N-056,251,1
56,N-056,292,4
56,N-056,323,2
56,N-056,596,4
57,N-057,129,5
57,N-057,163,5
58,N-058,256,5
58,N-058,328,1
58,N-058,419,5
58,N-058,422,2
58,N-058,462,4
59,N-059,31,3
59,N-059,58,2
59,N-059,226,4
60,N-060,21,2
60,N-060,25,1
60,N-060,99,4
60,N-060,284,1
60,N-060,330,2
61,N-061,20,2
61,N-061,240,3
61,N-061,397,3
61,N-061,436,5
61,N-061,468,2
61,N-061,475,2
61,N-061,568,2
62,N-062,77,5
62,N-062,112,4
62,N-062,309,5
62,N-062,446,1
63,N-063,101,5
63,N-063,144,4
63,N-063,151,1
63,N-063,186,4
64,N-064,171,4
64,N-064,200,3
64,N-064,282,5
64,N-064,295,5
64,N-064,332,2
64,N-064,492,5
65,N-065,127,1
65,N-065,214,2
65,N-065,390,1
65,N-065,417,4
66,N-066,406,2
66,N-066,466,1
66,N-066,517,1
66,N-066,527,3
66,N-066,555,3
66,N-066,557,5
66,N-066,567,2
66,N-066,569,3
66,N-066,570,5
67,N-067,158,4
67,N-067,196,4
67,N-067,281,1
67,N-067,290,2
67,N-067,340,2
67,N-067,421,5
67,N-067,471,5
68,N-068,24,3
68,N-068,279,5
68,N-068,391,2
68,N-068,467,1
68,N-068,491,5
68,N-068,504,3
69,N-069,29,3
69,N-069,46,1
69,N-069,155,2
69,N-069,174,1
69,N-069,324,2
69,N-069,541,1
69,N-069,558,1
70,N-070,294,4
70,N-070,341,3
70,N-070,409,3
70,N-070,424,4
70,N-070,515,3
70,N-070,524,2
70,N-070,551,3
71,N-071,28,1
71,N-071,33,2
71,N-071,143,5
71,N-071,247,1
71,N-071,325,5
71,N-071,366,1
71,N-071,502,3
71,N-071,511,5
72,N-072,133,3
72,N-072,138,4
72,N-072,248,4
72,N-072,293,5
72,N-072,357,2
72,N-072,387,4
73,N-073,8,2
73,N-073,13,4
73,N-073,107,3
73,N-073,207,5
73,N-073,383,4
73,N-073,420,2
73,N-073,425,1
73,N-073,430,1
73,N-073,437,3
74,N-074,6,1
74,N-074,276,2
74,N-074,326,1
74,N-074,375,1
74,N-074,404,4
74,N-074,438,3
74,N-074,509,5
74,N-074,543,4
74,N-074,564,2
74,N-074,586,2
75,N-075,35,2
75,N-075,65,4
75,N-075,70,3
75,N-075,176,3
75,N-075,444,3
75,N-075,473,3
75,N-075,478,3
75,N-075,508,4
76,N-076,5,1
76,N-076,51,3
76,N-076,130,4
76,N-076,280,2
76,N-076,369,5
76,N-076,427,5
76,N-076,514,1
76,N-076,529,4
76,N-076,581,3
77,N-077,18,1
77,N-077,164,4
77,N-077,307,2
77,N-077,370,1
77,N-077,413,4
77,N-077,455,2
78,N-078,82,3
78,N-078,195,4
78,N-078,342,5
78,N-078,380,3
78,N-078,389,4
78,N-078,412,5
79,N-079,105,1
79,N-079,192,2
79,N-079,246,1
79,N-079,270,3
79,N-079,297,1
79,N-079,305,4
79,N-079,334,5
79,N-079,452,1
79,N-079,460,5
80,N-080,177,3
80,N-080,206,5
80,N-080,304,3
80,N-080,428,5
80,N-080,500,5
80,N-080,519,5
80,N-080,530,5
80,N-080,538,2
80,N-080,548,5
81,N-081,37,3
81,N-081,44,4
81,N-081,169,2
81,N-081,219,2
81,N-081,337,5
81,N-081,461,2
82,N-082,7,1
82,N-082,187,4
82,N-082,228,5
82,N-082,333,1
82,N-082,522,2
82,N-082,560,1
82,N-082,566,2
82,N-082,574,3
82,N-082,575,4
83,N-083,14,2
83,N-083,55,5
83,N-083,95,4
84,N-084,27,2
84,N-084,81,2
85,N-085,23,3
85,N-085,72,4
85,N-085,100,1
85,N-085,116,5
85,N-085,118,1
85,N-085,145,1
85,N-085,285,3
85,N-085,319,2
85,N-085,363,5
85,N-085,364,5
86,N-086,84,1
86,N-086,237,2
86,N-086,263,4
86,N-086,386,5
86,N-086,512,5
86,N-086,513,5
87,N-087,103,1
87,N-087,183,5
87,N-087,193,3
87,N-087,204,4
87,N-087,474,3
87,N-087,495,3
88,N-088,41,3
88,N-088,222,4
88,N-088,254,1
88,N-088,355,2
88,N-088,396,1
88,N-088,451,1
88,N-088,469,1
88,N-088,477,2
88,N-088,496,3
89,N-089,12,3
89,N-089,69,3
89,N-089,172,4
89,N-089,362,3
89,N-089,414,3
90,N-090,10,5
90,N-090,85,4
90,N-090,136,2
90,N-090,216,5
90,N-090,373,1
90,N-090,594,1
91,N-091,3,2
91,N-091,91,2
91,N-091,128,4
91,N-091,150,2
91,N-091,181,2
91,N-091,210,1
91,N-091,234,2
91,N-091,300,1
92,N-092,17,3
92,N-092,108,3
93,N-093,170,2
93,N-093,217,1
93,N-093,227,3
93,N-093,359,2
93,N-093,454,2
93,N-093,476,2
93,N-093,592,3
94,N-094,255,4
94,N-094,306,3
94,N-094,372,4
94,N-094,410,3
94,N-094,510,5
94,N-094,534,2
94,N-094,539,1
94,N-094,556,1
95,N-095,64,1
95,N-095,272,1
95,N-095,296,4
95,N-095,493,5
95,N-095,518,3
95,N-095,531,1
95,N-095,559,5
95,N-095,580,5
95,N-095,583,2
96,N-096,66,1
96,N-096,283,4
96,N-096,456,2
96,N-096,487,1
97,N-097,45,1
97,N-097,199,3
97,N-097,311,1
97,N-097,418,5
97,N-097,490,3
97,N-097,494,2
97,N-097,503,3
97,N-097,598,5
98,N-098,42,2
98,N-098,139,1
98,N-098,167,2
98,N-098,189,5
98,N-098,277,1
99,N-099,63,1
99,N-099,71,4
99,N-099,273,5
100,N-100,9,1
100,N-100,93,1
100,N-100,137,1
100,N-100,303,5
